file_index,file_name,result,runtime_ms,full_path
1,symcc-unsat-0.smt2,sat,148,./cJSON/unsat/symcc-unsat-0.smt2
2,symcc-unsat-1.smt2,sat,178,./cJSON/unsat/symcc-unsat-1.smt2
3,symcc-unsat-10.smt2,TIMEOUT,300148,./cJSON/unsat/symcc-unsat-10.smt2
4,symcc-unsat-11.smt2,TIMEOUT,300181,./cJSON/unsat/symcc-unsat-11.smt2
5,symcc-unsat-12.smt2,sat,299789,./cJSON/unsat/symcc-unsat-12.smt2
6,symcc-unsat-13.smt2,sat,297820,./cJSON/unsat/symcc-unsat-13.smt2
7,symcc-unsat-14.smt2,sat,131346,./cJSON/unsat/symcc-unsat-14.smt2
8,symcc-unsat-15.smt2,sat,166609,./cJSON/unsat/symcc-unsat-15.smt2
9,symcc-unsat-16.smt2,sat,164516,./cJSON/unsat/symcc-unsat-16.smt2
10,symcc-unsat-17.smt2,sat,52706,./cJSON/unsat/symcc-unsat-17.smt2
11,symcc-unsat-18.smt2,TIMEOUT,300202,./cJSON/unsat/symcc-unsat-18.smt2
12,symcc-unsat-19.smt2,TIMEOUT,300180,./cJSON/unsat/symcc-unsat-19.smt2
13,symcc-unsat-2.smt2,sat,161,./cJSON/unsat/symcc-unsat-2.smt2
14,symcc-unsat-20.smt2,TIMEOUT,300198,./cJSON/unsat/symcc-unsat-20.smt2
15,symcc-unsat-21.smt2,TIMEOUT,300194,./cJSON/unsat/symcc-unsat-21.smt2
16,symcc-unsat-22.smt2,TIMEOUT,300181,./cJSON/unsat/symcc-unsat-22.smt2
17,symcc-unsat-23.smt2,TIMEOUT,300193,./cJSON/unsat/symcc-unsat-23.smt2
18,symcc-unsat-24.smt2,TIMEOUT,300203,./cJSON/unsat/symcc-unsat-24.smt2
19,symcc-unsat-25.smt2,TIMEOUT,300200,./cJSON/unsat/symcc-unsat-25.smt2
20,symcc-unsat-26.smt2,TIMEOUT,300229,./cJSON/unsat/symcc-unsat-26.smt2
21,symcc-unsat-27.smt2,TIMEOUT,300211,./cJSON/unsat/symcc-unsat-27.smt2
22,symcc-unsat-28.smt2,TIMEOUT,300217,./cJSON/unsat/symcc-unsat-28.smt2
23,symcc-unsat-29.smt2,TIMEOUT,300185,./cJSON/unsat/symcc-unsat-29.smt2
24,symcc-unsat-3.smt2,sat,508,./cJSON/unsat/symcc-unsat-3.smt2
25,symcc-unsat-30.smt2,TIMEOUT,300239,./cJSON/unsat/symcc-unsat-30.smt2
26,symcc-unsat-31.smt2,TIMEOUT,300253,./cJSON/unsat/symcc-unsat-31.smt2
27,symcc-unsat-32.smt2,TIMEOUT,300263,./cJSON/unsat/symcc-unsat-32.smt2
28,symcc-unsat-33.smt2,TIMEOUT,300248,./cJSON/unsat/symcc-unsat-33.smt2
29,symcc-unsat-34.smt2,TIMEOUT,300273,./cJSON/unsat/symcc-unsat-34.smt2
30,symcc-unsat-35.smt2,TIMEOUT,300266,./cJSON/unsat/symcc-unsat-35.smt2
31,symcc-unsat-36.smt2,TIMEOUT,300260,./cJSON/unsat/symcc-unsat-36.smt2
32,symcc-unsat-37.smt2,TIMEOUT,300269,./cJSON/unsat/symcc-unsat-37.smt2
33,symcc-unsat-38.smt2,TIMEOUT,300249,./cJSON/unsat/symcc-unsat-38.smt2
34,symcc-unsat-39.smt2,TIMEOUT,300285,./cJSON/unsat/symcc-unsat-39.smt2
35,symcc-unsat-4.smt2,sat,453,./cJSON/unsat/symcc-unsat-4.smt2
36,symcc-unsat-40.smt2,TIMEOUT,300329,./cJSON/unsat/symcc-unsat-40.smt2
37,symcc-unsat-41.smt2,TIMEOUT,300278,./cJSON/unsat/symcc-unsat-41.smt2
38,symcc-unsat-42.smt2,TIMEOUT,300241,./cJSON/unsat/symcc-unsat-42.smt2
39,symcc-unsat-5.smt2,sat,756,./cJSON/unsat/symcc-unsat-5.smt2
40,symcc-unsat-6.smt2,sat,801,./cJSON/unsat/symcc-unsat-6.smt2
41,symcc-unsat-7.smt2,sat,1033,./cJSON/unsat/symcc-unsat-7.smt2
42,symcc-unsat-8.smt2,sat,136599,./cJSON/unsat/symcc-unsat-8.smt2
43,symcc-unsat-9.smt2,TIMEOUT,300205,./cJSON/unsat/symcc-unsat-9.smt2
