file_index,file_name,result,runtime_ms,full_path
1,symcc-assertions-0.smt2,sat,171,./string_only_constraints/inih/sat/symcc-assertions-0.smt2
2,symcc-assertions-1.smt2,sat,176,./string_only_constraints/inih/sat/symcc-assertions-1.smt2
3,symcc-assertions-10.smt2,sat,209,./string_only_constraints/inih/sat/symcc-assertions-10.smt2
4,symcc-assertions-11.smt2,sat,179,./string_only_constraints/inih/sat/symcc-assertions-11.smt2
5,symcc-assertions-12.smt2,sat,211,./string_only_constraints/inih/sat/symcc-assertions-12.smt2
6,symcc-assertions-13.smt2,sat,195,./string_only_constraints/inih/sat/symcc-assertions-13.smt2
7,symcc-assertions-14.smt2,sat,193,./string_only_constraints/inih/sat/symcc-assertions-14.smt2
8,symcc-assertions-15.smt2,sat,194,./string_only_constraints/inih/sat/symcc-assertions-15.smt2
9,symcc-assertions-16.smt2,sat,182,./string_only_constraints/inih/sat/symcc-assertions-16.smt2
10,symcc-assertions-17.smt2,sat,193,./string_only_constraints/inih/sat/symcc-assertions-17.smt2
11,symcc-assertions-18.smt2,sat,187,./string_only_constraints/inih/sat/symcc-assertions-18.smt2
12,symcc-assertions-19.smt2,sat,192,./string_only_constraints/inih/sat/symcc-assertions-19.smt2
13,symcc-assertions-2.smt2,sat,173,./string_only_constraints/inih/sat/symcc-assertions-2.smt2
14,symcc-assertions-20.smt2,sat,199,./string_only_constraints/inih/sat/symcc-assertions-20.smt2
15,symcc-assertions-21.smt2,sat,189,./string_only_constraints/inih/sat/symcc-assertions-21.smt2
16,symcc-assertions-22.smt2,sat,191,./string_only_constraints/inih/sat/symcc-assertions-22.smt2
17,symcc-assertions-23.smt2,unsat,149,./string_only_constraints/inih/sat/symcc-assertions-23.smt2
18,symcc-assertions-24.smt2,sat,284,./string_only_constraints/inih/sat/symcc-assertions-24.smt2
19,symcc-assertions-25.smt2,sat,302,./string_only_constraints/inih/sat/symcc-assertions-25.smt2
20,symcc-assertions-26.smt2,sat,278,./string_only_constraints/inih/sat/symcc-assertions-26.smt2
21,symcc-assertions-27.smt2,sat,24407,./string_only_constraints/inih/sat/symcc-assertions-27.smt2
22,symcc-assertions-28.smt2,sat,23963,./string_only_constraints/inih/sat/symcc-assertions-28.smt2
23,symcc-assertions-29.smt2,sat,24330,./string_only_constraints/inih/sat/symcc-assertions-29.smt2
24,symcc-assertions-3.smt2,sat,187,./string_only_constraints/inih/sat/symcc-assertions-3.smt2
25,symcc-assertions-30.smt2,sat,23778,./string_only_constraints/inih/sat/symcc-assertions-30.smt2
26,symcc-assertions-31.smt2,sat,25297,./string_only_constraints/inih/sat/symcc-assertions-31.smt2
27,symcc-assertions-32.smt2,sat,6988,./string_only_constraints/inih/sat/symcc-assertions-32.smt2
28,symcc-assertions-33.smt2,unsat,200,./string_only_constraints/inih/sat/symcc-assertions-33.smt2
29,symcc-assertions-34.smt2,unsat,163,./string_only_constraints/inih/sat/symcc-assertions-34.smt2
30,symcc-assertions-35.smt2,TIMEOUT,300157,./string_only_constraints/inih/sat/symcc-assertions-35.smt2
31,symcc-assertions-36.smt2,TIMEOUT,300181,./string_only_constraints/inih/sat/symcc-assertions-36.smt2
32,symcc-assertions-37.smt2,TIMEOUT,300178,./string_only_constraints/inih/sat/symcc-assertions-37.smt2
33,symcc-assertions-38.smt2,TIMEOUT,300153,./string_only_constraints/inih/sat/symcc-assertions-38.smt2
34,symcc-assertions-39.smt2,TIMEOUT,300146,./string_only_constraints/inih/sat/symcc-assertions-39.smt2
35,symcc-assertions-4.smt2,sat,192,./string_only_constraints/inih/sat/symcc-assertions-4.smt2
36,symcc-assertions-40.smt2,TIMEOUT,300177,./string_only_constraints/inih/sat/symcc-assertions-40.smt2
37,symcc-assertions-41.smt2,TIMEOUT,300176,./string_only_constraints/inih/sat/symcc-assertions-41.smt2
38,symcc-assertions-42.smt2,TIMEOUT,300168,./string_only_constraints/inih/sat/symcc-assertions-42.smt2
39,symcc-assertions-43.smt2,TIMEOUT,300146,./string_only_constraints/inih/sat/symcc-assertions-43.smt2
40,symcc-assertions-44.smt2,TIMEOUT,300159,./string_only_constraints/inih/sat/symcc-assertions-44.smt2
41,symcc-assertions-45.smt2,TIMEOUT,300158,./string_only_constraints/inih/sat/symcc-assertions-45.smt2
42,symcc-assertions-46.smt2,TIMEOUT,300157,./string_only_constraints/inih/sat/symcc-assertions-46.smt2
43,symcc-assertions-47.smt2,TIMEOUT,300158,./string_only_constraints/inih/sat/symcc-assertions-47.smt2
44,symcc-assertions-48.smt2,TIMEOUT,300166,./string_only_constraints/inih/sat/symcc-assertions-48.smt2
45,symcc-assertions-49.smt2,TIMEOUT,300168,./string_only_constraints/inih/sat/symcc-assertions-49.smt2
46,symcc-assertions-50.smt2,TIMEOUT,300212,./string_only_constraints/inih/sat/symcc-assertions-50.smt2
47,symcc-assertions-51.smt2,TIMEOUT,300160,./string_only_constraints/inih/sat/symcc-assertions-51.smt2
48,symcc-assertions-52.smt2,TIMEOUT,300097,./string_only_constraints/inih/sat/symcc-assertions-52.smt2
49,symcc-assertions-53.smt2,TIMEOUT,300130,./string_only_constraints/inih/sat/symcc-assertions-53.smt2
50,symcc-assertions-54.smt2,TIMEOUT,300125,./string_only_constraints/inih/sat/symcc-assertions-54.smt2
