file_index,file_name,result,runtime_ms,full_path
1,symcc-assertions-0.smt2,sat,125,./minicsv/sat/symcc-assertions-0.smt2
2,symcc-assertions-1.smt2,unsat,93,./minicsv/sat/symcc-assertions-1.smt2
3,symcc-assertions-10.smt2,sat,165,./minicsv/sat/symcc-assertions-10.smt2
4,symcc-assertions-11.smt2,sat,124,./minicsv/sat/symcc-assertions-11.smt2
5,symcc-assertions-12.smt2,sat,131,./minicsv/sat/symcc-assertions-12.smt2
6,symcc-assertions-13.smt2,sat,130,./minicsv/sat/symcc-assertions-13.smt2
7,symcc-assertions-14.smt2,sat,127,./minicsv/sat/symcc-assertions-14.smt2
8,symcc-assertions-15.smt2,sat,129,./minicsv/sat/symcc-assertions-15.smt2
9,symcc-assertions-16.smt2,sat,130,./minicsv/sat/symcc-assertions-16.smt2
10,symcc-assertions-17.smt2,sat,138,./minicsv/sat/symcc-assertions-17.smt2
11,symcc-assertions-18.smt2,sat,134,./minicsv/sat/symcc-assertions-18.smt2
12,symcc-assertions-19.smt2,sat,131,./minicsv/sat/symcc-assertions-19.smt2
13,symcc-assertions-2.smt2,sat,118,./minicsv/sat/symcc-assertions-2.smt2
14,symcc-assertions-20.smt2,sat,125,./minicsv/sat/symcc-assertions-20.smt2
15,symcc-assertions-21.smt2,sat,138,./minicsv/sat/symcc-assertions-21.smt2
16,symcc-assertions-22.smt2,sat,135,./minicsv/sat/symcc-assertions-22.smt2
17,symcc-assertions-23.smt2,sat,139,./minicsv/sat/symcc-assertions-23.smt2
18,symcc-assertions-24.smt2,unsat,92,./minicsv/sat/symcc-assertions-24.smt2
19,symcc-assertions-25.smt2,unsat,101,./minicsv/sat/symcc-assertions-25.smt2
20,symcc-assertions-26.smt2,sat,473,./minicsv/sat/symcc-assertions-26.smt2
21,symcc-assertions-27.smt2,sat,997,./minicsv/sat/symcc-assertions-27.smt2
22,symcc-assertions-28.smt2,sat,1030,./minicsv/sat/symcc-assertions-28.smt2
23,symcc-assertions-29.smt2,sat,1000,./minicsv/sat/symcc-assertions-29.smt2
24,symcc-assertions-3.smt2,sat,123,./minicsv/sat/symcc-assertions-3.smt2
25,symcc-assertions-30.smt2,sat,1004,./minicsv/sat/symcc-assertions-30.smt2
26,symcc-assertions-31.smt2,sat,504,./minicsv/sat/symcc-assertions-31.smt2
27,symcc-assertions-32.smt2,sat,507,./minicsv/sat/symcc-assertions-32.smt2
28,symcc-assertions-33.smt2,sat,505,./minicsv/sat/symcc-assertions-33.smt2
29,symcc-assertions-34.smt2,sat,535,./minicsv/sat/symcc-assertions-34.smt2
30,symcc-assertions-35.smt2,sat,496,./minicsv/sat/symcc-assertions-35.smt2
31,symcc-assertions-36.smt2,sat,539,./minicsv/sat/symcc-assertions-36.smt2
32,symcc-assertions-37.smt2,sat,540,./minicsv/sat/symcc-assertions-37.smt2
33,symcc-assertions-38.smt2,sat,564,./minicsv/sat/symcc-assertions-38.smt2
34,symcc-assertions-39.smt2,sat,570,./minicsv/sat/symcc-assertions-39.smt2
35,symcc-assertions-4.smt2,sat,123,./minicsv/sat/symcc-assertions-4.smt2
36,symcc-assertions-40.smt2,sat,555,./minicsv/sat/symcc-assertions-40.smt2
37,symcc-assertions-41.smt2,sat,593,./minicsv/sat/symcc-assertions-41.smt2
38,symcc-assertions-42.smt2,sat,655,./minicsv/sat/symcc-assertions-42.smt2
39,symcc-assertions-43.smt2,sat,614,./minicsv/sat/symcc-assertions-43.smt2
40,symcc-assertions-44.smt2,unsat,89,./minicsv/sat/symcc-assertions-44.smt2
41,symcc-assertions-45.smt2,unsat,94,./minicsv/sat/symcc-assertions-45.smt2
42,symcc-assertions-46.smt2,sat,13210,./minicsv/sat/symcc-assertions-46.smt2
43,symcc-assertions-47.smt2,TIMEOUT,300206,./minicsv/sat/symcc-assertions-47.smt2
44,symcc-assertions-48.smt2,TIMEOUT,300229,./minicsv/sat/symcc-assertions-48.smt2
45,symcc-assertions-49.smt2,TIMEOUT,300230,./minicsv/sat/symcc-assertions-49.smt2
46,symcc-assertions-5.smt2,sat,199,./minicsv/sat/symcc-assertions-5.smt2
47,symcc-assertions-6.smt2,sat,190,./minicsv/sat/symcc-assertions-6.smt2
48,symcc-assertions-7.smt2,sat,237,./minicsv/sat/symcc-assertions-7.smt2
49,symcc-assertions-8.smt2,sat,251,./minicsv/sat/symcc-assertions-8.smt2
50,symcc-assertions-9.smt2,sat,234,./minicsv/sat/symcc-assertions-9.smt2
