file_index,file_name,result,runtime_ms,full_path
1,symcc-unsat-0.smt2,sat,263,./string_only_constraints/minicsv/unsat/symcc-unsat-0.smt2
2,symcc-unsat-1.smt2,sat,257,./string_only_constraints/minicsv/unsat/symcc-unsat-1.smt2
3,symcc-unsat-10.smt2,sat,182,./string_only_constraints/minicsv/unsat/symcc-unsat-10.smt2
4,symcc-unsat-11.smt2,sat,274,./string_only_constraints/minicsv/unsat/symcc-unsat-11.smt2
5,symcc-unsat-12.smt2,sat,195,./string_only_constraints/minicsv/unsat/symcc-unsat-12.smt2
6,symcc-unsat-13.smt2,sat,216,./string_only_constraints/minicsv/unsat/symcc-unsat-13.smt2
7,symcc-unsat-14.smt2,sat,193,./string_only_constraints/minicsv/unsat/symcc-unsat-14.smt2
8,symcc-unsat-15.smt2,sat,186,./string_only_constraints/minicsv/unsat/symcc-unsat-15.smt2
9,symcc-unsat-16.smt2,sat,267,./string_only_constraints/minicsv/unsat/symcc-unsat-16.smt2
10,symcc-unsat-17.smt2,sat,183,./string_only_constraints/minicsv/unsat/symcc-unsat-17.smt2
11,symcc-unsat-18.smt2,sat,218,./string_only_constraints/minicsv/unsat/symcc-unsat-18.smt2
12,symcc-unsat-19.smt2,sat,216,./string_only_constraints/minicsv/unsat/symcc-unsat-19.smt2
13,symcc-unsat-2.smt2,sat,189,./string_only_constraints/minicsv/unsat/symcc-unsat-2.smt2
14,symcc-unsat-20.smt2,sat,209,./string_only_constraints/minicsv/unsat/symcc-unsat-20.smt2
15,symcc-unsat-21.smt2,sat,402,./string_only_constraints/minicsv/unsat/symcc-unsat-21.smt2
16,symcc-unsat-22.smt2,sat,220,./string_only_constraints/minicsv/unsat/symcc-unsat-22.smt2
17,symcc-unsat-23.smt2,sat,200,./string_only_constraints/minicsv/unsat/symcc-unsat-23.smt2
18,symcc-unsat-24.smt2,sat,225,./string_only_constraints/minicsv/unsat/symcc-unsat-24.smt2
19,symcc-unsat-25.smt2,sat,214,./string_only_constraints/minicsv/unsat/symcc-unsat-25.smt2
20,symcc-unsat-26.smt2,sat,1612,./string_only_constraints/minicsv/unsat/symcc-unsat-26.smt2
21,symcc-unsat-27.smt2,sat,616,./string_only_constraints/minicsv/unsat/symcc-unsat-27.smt2
22,symcc-unsat-28.smt2,sat,618,./string_only_constraints/minicsv/unsat/symcc-unsat-28.smt2
23,symcc-unsat-29.smt2,sat,596,./string_only_constraints/minicsv/unsat/symcc-unsat-29.smt2
24,symcc-unsat-3.smt2,sat,229,./string_only_constraints/minicsv/unsat/symcc-unsat-3.smt2
25,symcc-unsat-30.smt2,sat,708,./string_only_constraints/minicsv/unsat/symcc-unsat-30.smt2
26,symcc-unsat-31.smt2,sat,1392,./string_only_constraints/minicsv/unsat/symcc-unsat-31.smt2
27,symcc-unsat-32.smt2,sat,665,./string_only_constraints/minicsv/unsat/symcc-unsat-32.smt2
28,symcc-unsat-33.smt2,sat,728,./string_only_constraints/minicsv/unsat/symcc-unsat-33.smt2
29,symcc-unsat-34.smt2,sat,676,./string_only_constraints/minicsv/unsat/symcc-unsat-34.smt2
30,symcc-unsat-35.smt2,sat,658,./string_only_constraints/minicsv/unsat/symcc-unsat-35.smt2
31,symcc-unsat-36.smt2,sat,2172,./string_only_constraints/minicsv/unsat/symcc-unsat-36.smt2
32,symcc-unsat-37.smt2,sat,664,./string_only_constraints/minicsv/unsat/symcc-unsat-37.smt2
33,symcc-unsat-38.smt2,sat,740,./string_only_constraints/minicsv/unsat/symcc-unsat-38.smt2
34,symcc-unsat-39.smt2,sat,696,./string_only_constraints/minicsv/unsat/symcc-unsat-39.smt2
35,symcc-unsat-4.smt2,sat,187,./string_only_constraints/minicsv/unsat/symcc-unsat-4.smt2
36,symcc-unsat-40.smt2,sat,757,./string_only_constraints/minicsv/unsat/symcc-unsat-40.smt2
37,symcc-unsat-41.smt2,sat,1617,./string_only_constraints/minicsv/unsat/symcc-unsat-41.smt2
38,symcc-unsat-42.smt2,sat,734,./string_only_constraints/minicsv/unsat/symcc-unsat-42.smt2
39,symcc-unsat-43.smt2,sat,709,./string_only_constraints/minicsv/unsat/symcc-unsat-43.smt2
40,symcc-unsat-44.smt2,sat,688,./string_only_constraints/minicsv/unsat/symcc-unsat-44.smt2
41,symcc-unsat-45.smt2,sat,697,./string_only_constraints/minicsv/unsat/symcc-unsat-45.smt2
42,symcc-unsat-46.smt2,sat,264919,./string_only_constraints/minicsv/unsat/symcc-unsat-46.smt2
43,symcc-unsat-47.smt2,sat,19948,./string_only_constraints/minicsv/unsat/symcc-unsat-47.smt2
44,symcc-unsat-48.smt2,sat,16971,./string_only_constraints/minicsv/unsat/symcc-unsat-48.smt2
45,symcc-unsat-49.smt2,sat,15884,./string_only_constraints/minicsv/unsat/symcc-unsat-49.smt2
46,symcc-unsat-50.smt2,sat,17038,./string_only_constraints/minicsv/unsat/symcc-unsat-50.smt2
47,symcc-unsat-51.smt2,TIMEOUT,300232,./string_only_constraints/minicsv/unsat/symcc-unsat-51.smt2
48,symcc-unsat-52.smt2,sat,17819,./string_only_constraints/minicsv/unsat/symcc-unsat-52.smt2
49,symcc-unsat-53.smt2,sat,17727,./string_only_constraints/minicsv/unsat/symcc-unsat-53.smt2
50,symcc-unsat-54.smt2,sat,17760,./string_only_constraints/minicsv/unsat/symcc-unsat-54.smt2
