program,file,type,result,time_ms
cJSON,symcc-assertions-0.smt2,sat,sat,1343
cJSON,symcc-assertions-10.smt2,sat,unsat,1451
cJSON,symcc-assertions-11.smt2,sat,unsat,1269
cJSON,symcc-assertions-12.smt2,sat,sat,5076
cJSON,symcc-assertions-13.smt2,sat,unsat,1504
cJSON,symcc-assertions-14.smt2,sat,unsat,2329
cJSON,symcc-assertions-15.smt2,sat,unsat,17238
cJSON,symcc-assertions-16.smt2,sat,unsat,2242
cJSON,symcc-assertions-17.smt2,sat,sat,8608
cJSON,symcc-assertions-18.smt2,sat,sat,9113
cJSON,symcc-assertions-19.smt2,sat,unsat,2864
cJSON,symcc-assertions-1.smt2,sat,sat,4823
cJSON,symcc-assertions-20.smt2,sat,unsat,5499
cJSON,symcc-assertions-21.smt2,sat,sat,38970
cJSON,symcc-assertions-22.smt2,sat,unsat,5948
cJSON,symcc-assertions-23.smt2,sat,sat,21034
cJSON,symcc-assertions-24.smt2,sat,sat,17759
cJSON,symcc-assertions-25.smt2,sat,unsat,5939
cJSON,symcc-assertions-26.smt2,sat,unsat,6882
cJSON,symcc-assertions-27.smt2,sat,unsat,12037
cJSON,symcc-assertions-28.smt2,sat,unsat,3989
cJSON,symcc-assertions-29.smt2,sat,unsat,8903
cJSON,symcc-assertions-2.smt2,sat,sat,12942
cJSON,symcc-assertions-30.smt2,sat,unsat,8137
cJSON,symcc-assertions-31.smt2,sat,unsat,7443
cJSON,symcc-assertions-32.smt2,sat,unsat,6097
cJSON,symcc-assertions-33.smt2,sat,unsat,38872
cJSON,symcc-assertions-34.smt2,sat,unsat,7896
cJSON,symcc-assertions-35.smt2,sat,unsat,47285
cJSON,symcc-assertions-36.smt2,sat,timeout,61211
cJSON,symcc-assertions-37.smt2,sat,timeout,61231
cJSON,symcc-assertions-38.smt2,sat,unsat,7799
cJSON,symcc-assertions-39.smt2,sat,unsat,52381
cJSON,symcc-assertions-3.smt2,sat,unsat,15531
cJSON,symcc-assertions-40.smt2,sat,unsat,8652
cJSON,symcc-assertions-41.smt2,sat,unsat,34476
cJSON,symcc-assertions-42.smt2,sat,unsat,4389
cJSON,symcc-assertions-4.smt2,sat,sat,14306
cJSON,symcc-assertions-5.smt2,sat,unsat,25212
cJSON,symcc-assertions-6.smt2,sat,unsat,3370
cJSON,symcc-assertions-7.smt2,sat,sat,16231
cJSON,symcc-assertions-8.smt2,sat,sat,46285
cJSON,symcc-assertions-9.smt2,sat,unsat,4978
cJSON,symcc-unsat-0.smt2,unsat,sat,3643
cJSON,symcc-unsat-10.smt2,unsat,sat,39830
cJSON,symcc-unsat-11.smt2,unsat,sat,57865
cJSON,symcc-unsat-12.smt2,unsat,sat,23150
cJSON,symcc-unsat-13.smt2,unsat,sat,17784
cJSON,symcc-unsat-14.smt2,unsat,sat,16276
cJSON,symcc-unsat-15.smt2,unsat,sat,35114
cJSON,symcc-unsat-16.smt2,unsat,sat,28493
cJSON,symcc-unsat-17.smt2,unsat,sat,14668
cJSON,symcc-unsat-18.smt2,unsat,sat,14893
cJSON,symcc-unsat-19.smt2,unsat,sat,19719
cJSON,symcc-unsat-1.smt2,unsat,sat,10321
cJSON,symcc-unsat-20.smt2,unsat,sat,13363
cJSON,symcc-unsat-21.smt2,unsat,sat,14156
cJSON,symcc-unsat-22.smt2,unsat,sat,12768
cJSON,symcc-unsat-23.smt2,unsat,sat,10610
cJSON,symcc-unsat-24.smt2,unsat,sat,20268
cJSON,symcc-unsat-25.smt2,unsat,sat,18640
cJSON,symcc-unsat-26.smt2,unsat,sat,18522
cJSON,symcc-unsat-27.smt2,unsat,sat,18356
cJSON,symcc-unsat-28.smt2,unsat,sat,10408
cJSON,symcc-unsat-29.smt2,unsat,sat,13831
cJSON,symcc-unsat-2.smt2,unsat,sat,8840
cJSON,symcc-unsat-30.smt2,unsat,sat,14401
cJSON,symcc-unsat-31.smt2,unsat,sat,18017
