program,file,type,result,time_ms
cJSON,symcc-assertions-0.smt2,sat,sat,5246
cJSON,symcc-assertions-10.smt2,sat,unsat,2740
cJSON,symcc-assertions-11.smt2,sat,unsat,2369
cJSON,symcc-assertions-12.smt2,sat,sat,6754
cJSON,symcc-assertions-13.smt2,sat,unsat,2497
cJSON,symcc-assertions-14.smt2,sat,unsat,2363
cJSON,symcc-assertions-15.smt2,sat,unsat,15788
cJSON,symcc-assertions-16.smt2,sat,unsat,4293
cJSON,symcc-assertions-17.smt2,sat,sat,15896
cJSON,symcc-assertions-18.smt2,sat,sat,19304
cJSON,symcc-assertions-19.smt2,sat,unsat,5960
cJSON,symcc-assertions-1.smt2,sat,sat,4716
cJSON,symcc-assertions-20.smt2,sat,unsat,2147
cJSON,symcc-assertions-21.smt2,sat,sat,12462
cJSON,symcc-assertions-22.smt2,sat,unsat,1613
cJSON,symcc-assertions-23.smt2,sat,sat,7096
cJSON,symcc-assertions-24.smt2,sat,sat,6207
cJSON,symcc-assertions-25.smt2,sat,unsat,3126
cJSON,symcc-assertions-26.smt2,sat,unsat,2598
cJSON,symcc-assertions-27.smt2,sat,unsat,3390
cJSON,symcc-assertions-28.smt2,sat,unsat,1772
cJSON,symcc-assertions-29.smt2,sat,unsat,2480
cJSON,symcc-assertions-2.smt2,sat,sat,4068
cJSON,symcc-assertions-30.smt2,sat,unsat,2641
cJSON,symcc-assertions-31.smt2,sat,unsat,2214
cJSON,symcc-assertions-32.smt2,sat,unsat,2419
cJSON,symcc-assertions-33.smt2,sat,unsat,13131
cJSON,symcc-assertions-34.smt2,sat,unsat,2085
cJSON,symcc-assertions-35.smt2,sat,unsat,12436
cJSON,symcc-assertions-36.smt2,sat,timeout,60801
cJSON,symcc-assertions-37.smt2,sat,timeout,60082
cJSON,symcc-assertions-38.smt2,sat,unsat,2649
cJSON,symcc-assertions-39.smt2,sat,unsat,18292
cJSON,symcc-assertions-3.smt2,sat,unsat,6760
cJSON,symcc-assertions-40.smt2,sat,unsat,3734
