file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,12546
symcc-unsat-1.smt2,sat,88680
symcc-unsat-10.smt2,TIMEOUT,300186
symcc-unsat-11.smt2,TIMEOUT,300202
symcc-unsat-12.smt2,TIMEOUT,300206
symcc-unsat-13.smt2,TIMEOUT,300193
symcc-unsat-14.smt2,TIMEOUT,300198
symcc-unsat-15.smt2,TIMEOUT,300191
symcc-unsat-16.smt2,TIMEOUT,300186
symcc-unsat-17.smt2,TIMEOUT,300219
symcc-unsat-18.smt2,TIMEOUT,300189
symcc-unsat-19.smt2,TIMEOUT,300251
symcc-unsat-2.smt2,sat,99331
symcc-unsat-20.smt2,TIMEOUT,300179
symcc-unsat-21.smt2,TIMEOUT,300227
symcc-unsat-22.smt2,TIMEOUT,300234
symcc-unsat-23.smt2,TIMEOUT,300217
symcc-unsat-24.smt2,TIMEOUT,300223
symcc-unsat-25.smt2,TIMEOUT,300214
symcc-unsat-26.smt2,TIMEOUT,300218
symcc-unsat-27.smt2,TIMEOUT,300192
symcc-unsat-28.smt2,TIMEOUT,300191
symcc-unsat-29.smt2,TIMEOUT,300155
symcc-unsat-3.smt2,TIMEOUT,1870738
symcc-unsat-30.smt2,TIMEOUT,1840070
symcc-unsat-31.smt2,TIMEOUT,300209
symcc-unsat-32.smt2,TIMEOUT,300184
symcc-unsat-33.smt2,TIMEOUT,300193
symcc-unsat-34.smt2,TIMEOUT,300187
symcc-unsat-35.smt2,TIMEOUT,300189
symcc-unsat-36.smt2,TIMEOUT,300217
symcc-unsat-37.smt2,TIMEOUT,300155
symcc-unsat-38.smt2,TIMEOUT,300159
symcc-unsat-39.smt2,TIMEOUT,300167
symcc-unsat-4.smt2,TIMEOUT,300172
symcc-unsat-40.smt2,TIMEOUT,300186
symcc-unsat-41.smt2,TIMEOUT,300193
symcc-unsat-42.smt2,TIMEOUT,300252
symcc-unsat-43.smt2,TIMEOUT,300178
symcc-unsat-44.smt2,TIMEOUT,300181
symcc-unsat-45.smt2,TIMEOUT,300180
symcc-unsat-46.smt2,TIMEOUT,300151
symcc-unsat-47.smt2,TIMEOUT,300164
symcc-unsat-48.smt2,TIMEOUT,300155
symcc-unsat-49.smt2,TIMEOUT,300169
symcc-unsat-5.smt2,TIMEOUT,300154
symcc-unsat-6.smt2,TIMEOUT,300141
symcc-unsat-7.smt2,TIMEOUT,300160
symcc-unsat-8.smt2,TIMEOUT,300149
symcc-unsat-9.smt2,TIMEOUT,300124
