file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,105
symcc-assertions-1.smt2,sat,77
symcc-assertions-10.smt2,unsat,69
symcc-assertions-11.smt2,unsat,67
symcc-assertions-12.smt2,sat,115
symcc-assertions-13.smt2,unsat,65
symcc-assertions-14.smt2,unsat,68
symcc-assertions-15.smt2,unsat,308
symcc-assertions-16.smt2,unsat,71
symcc-assertions-17.smt2,sat,105
symcc-assertions-18.smt2,sat,138
symcc-assertions-19.smt2,unsat,66
symcc-assertions-2.smt2,sat,80
symcc-assertions-20.smt2,unsat,66
symcc-assertions-21.smt2,sat,288
symcc-assertions-22.smt2,unsat,67
symcc-assertions-23.smt2,sat,129
symcc-assertions-24.smt2,sat,174
symcc-assertions-25.smt2,unsat,68
symcc-assertions-26.smt2,unsat,71
symcc-assertions-27.smt2,unsat,68
symcc-assertions-28.smt2,unsat,66
symcc-assertions-29.smt2,unsat,66
symcc-assertions-3.smt2,unsat,82
symcc-assertions-30.smt2,unsat,439
symcc-assertions-31.smt2,unsat,68
symcc-assertions-32.smt2,unsat,65
symcc-assertions-33.smt2,unsat,256
symcc-assertions-34.smt2,unsat,78
symcc-assertions-35.smt2,unsat,292
symcc-assertions-36.smt2,unsat,699
symcc-assertions-37.smt2,unsat,721
symcc-assertions-38.smt2,unsat,74
symcc-assertions-39.smt2,unsat,281
symcc-assertions-4.smt2,sat,97
symcc-assertions-40.smt2,unsat,76
symcc-assertions-41.smt2,unsat,205
symcc-assertions-42.smt2,unsat,67
symcc-assertions-5.smt2,unsat,127
symcc-assertions-6.smt2,unsat,67
symcc-assertions-7.smt2,sat,89
symcc-assertions-8.smt2,sat,99
symcc-assertions-9.smt2,unsat,66
