file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,67
symcc-unsat-1.smt2,sat,75
symcc-unsat-10.smt2,sat,218
symcc-unsat-11.smt2,sat,231
symcc-unsat-12.smt2,sat,121
symcc-unsat-13.smt2,sat,117
symcc-unsat-14.smt2,sat,113
symcc-unsat-15.smt2,sat,128
symcc-unsat-16.smt2,sat,126
symcc-unsat-17.smt2,sat,146
symcc-unsat-18.smt2,sat,140
symcc-unsat-19.smt2,sat,140
symcc-unsat-2.smt2,sat,77
symcc-unsat-20.smt2,sat,140
symcc-unsat-21.smt2,sat,170
symcc-unsat-22.smt2,sat,172
symcc-unsat-23.smt2,sat,160
symcc-unsat-24.smt2,sat,173
symcc-unsat-25.smt2,sat,174
symcc-unsat-26.smt2,sat,182
symcc-unsat-27.smt2,sat,179
symcc-unsat-28.smt2,sat,179
symcc-unsat-29.smt2,sat,185
symcc-unsat-3.smt2,sat,84
symcc-unsat-30.smt2,sat,191
symcc-unsat-31.smt2,sat,208
symcc-unsat-32.smt2,sat,217
symcc-unsat-33.smt2,sat,191
symcc-unsat-34.smt2,sat,284
symcc-unsat-35.smt2,sat,195
symcc-unsat-36.smt2,sat,238
symcc-unsat-37.smt2,sat,194
symcc-unsat-38.smt2,sat,201
symcc-unsat-39.smt2,sat,216
symcc-unsat-4.smt2,sat,88
symcc-unsat-40.smt2,sat,200
symcc-unsat-41.smt2,sat,191
symcc-unsat-42.smt2,sat,192
symcc-unsat-5.smt2,sat,95
symcc-unsat-6.smt2,sat,95
symcc-unsat-7.smt2,sat,98
symcc-unsat-8.smt2,sat,226
symcc-unsat-9.smt2,sat,220
