file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,70
symcc-assertions-1.smt2,sat,77
symcc-assertions-10.smt2,unsat,68
symcc-assertions-11.smt2,unsat,67
symcc-assertions-12.smt2,sat,119
symcc-assertions-13.smt2,unsat,70
symcc-assertions-14.smt2,unsat,75
symcc-assertions-15.smt2,unsat,306
symcc-assertions-16.smt2,unsat,80
symcc-assertions-17.smt2,sat,119
symcc-assertions-18.smt2,sat,143
symcc-assertions-19.smt2,unsat,72
symcc-assertions-2.smt2,sat,86
symcc-assertions-20.smt2,unsat,69
symcc-assertions-21.smt2,sat,301
symcc-assertions-22.smt2,unsat,70
symcc-assertions-23.smt2,sat,120
symcc-assertions-24.smt2,sat,171
symcc-assertions-25.smt2,unsat,72
symcc-assertions-26.smt2,unsat,71
symcc-assertions-27.smt2,unsat,68
symcc-assertions-28.smt2,unsat,65
symcc-assertions-29.smt2,unsat,70
symcc-assertions-3.smt2,unsat,86
symcc-assertions-30.smt2,unsat,453
symcc-assertions-31.smt2,unsat,68
symcc-assertions-32.smt2,unsat,69
symcc-assertions-33.smt2,unsat,254
symcc-assertions-34.smt2,unsat,72
symcc-assertions-35.smt2,unsat,261
symcc-assertions-36.smt2,unsat,647
symcc-assertions-37.smt2,unsat,656
symcc-assertions-38.smt2,unsat,69
symcc-assertions-39.smt2,unsat,254
symcc-assertions-4.smt2,sat,88
symcc-assertions-40.smt2,unsat,73
symcc-assertions-41.smt2,unsat,204
symcc-assertions-42.smt2,unsat,71
symcc-assertions-5.smt2,unsat,133
symcc-assertions-6.smt2,unsat,73
symcc-assertions-7.smt2,sat,94
symcc-assertions-8.smt2,sat,106
symcc-assertions-9.smt2,unsat,66
