file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,72
symcc-unsat-1.smt2,sat,74
symcc-unsat-10.smt2,sat,221
symcc-unsat-11.smt2,sat,214
symcc-unsat-12.smt2,sat,116
symcc-unsat-13.smt2,sat,116
symcc-unsat-14.smt2,sat,113
symcc-unsat-15.smt2,sat,140
symcc-unsat-16.smt2,sat,128
symcc-unsat-17.smt2,sat,128
symcc-unsat-18.smt2,sat,140
symcc-unsat-19.smt2,sat,146
symcc-unsat-2.smt2,sat,83
symcc-unsat-20.smt2,sat,143
symcc-unsat-21.smt2,sat,160
symcc-unsat-22.smt2,sat,156
symcc-unsat-23.smt2,sat,164
symcc-unsat-24.smt2,sat,171
symcc-unsat-25.smt2,sat,183
symcc-unsat-26.smt2,sat,173
symcc-unsat-27.smt2,sat,170
symcc-unsat-28.smt2,sat,170
symcc-unsat-29.smt2,sat,178
symcc-unsat-3.smt2,sat,90
symcc-unsat-30.smt2,sat,190
symcc-unsat-31.smt2,sat,188
symcc-unsat-32.smt2,sat,189
symcc-unsat-33.smt2,sat,189
symcc-unsat-34.smt2,sat,191
symcc-unsat-35.smt2,sat,192
symcc-unsat-36.smt2,sat,191
symcc-unsat-37.smt2,sat,190
symcc-unsat-38.smt2,sat,200
symcc-unsat-39.smt2,sat,190
symcc-unsat-4.smt2,sat,85
symcc-unsat-40.smt2,sat,189
symcc-unsat-41.smt2,sat,196
symcc-unsat-42.smt2,sat,190
symcc-unsat-5.smt2,sat,94
symcc-unsat-6.smt2,sat,90
symcc-unsat-7.smt2,sat,102
symcc-unsat-8.smt2,sat,211
symcc-unsat-9.smt2,sat,213
symcc-unsat-reset-21.smt2,sat,160
