file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,108
symcc-assertions-1.smt2,sat,69
symcc-assertions-10.smt2,sat,79
symcc-assertions-11.smt2,sat,98
symcc-assertions-12.smt2,sat,79
symcc-assertions-13.smt2,sat,78
symcc-assertions-14.smt2,sat,77
symcc-assertions-15.smt2,sat,75
symcc-assertions-16.smt2,sat,84
symcc-assertions-17.smt2,sat,82
symcc-assertions-18.smt2,sat,82
symcc-assertions-19.smt2,sat,86
symcc-assertions-2.smt2,sat,71
symcc-assertions-20.smt2,sat,83
symcc-assertions-21.smt2,sat,82
symcc-assertions-22.smt2,sat,81
symcc-assertions-23.smt2,unsat,69
symcc-assertions-24.smt2,sat,115
symcc-assertions-25.smt2,sat,180
symcc-assertions-26.smt2,sat,242
symcc-assertions-27.smt2,sat,311
symcc-assertions-28.smt2,sat,314
symcc-assertions-29.smt2,sat,313
symcc-assertions-3.smt2,sat,67
symcc-assertions-30.smt2,sat,314
symcc-assertions-31.smt2,sat,319
symcc-assertions-32.smt2,sat,312
symcc-assertions-33.smt2,unsat,137
symcc-assertions-34.smt2,unsat,70
symcc-assertions-35.smt2,sat,325
symcc-assertions-36.smt2,sat,407
symcc-assertions-37.smt2,sat,439
symcc-assertions-38.smt2,sat,707
symcc-assertions-39.smt2,sat,737
symcc-assertions-4.smt2,sat,78
symcc-assertions-40.smt2,sat,865
symcc-assertions-41.smt2,sat,730
symcc-assertions-42.smt2,sat,804
symcc-assertions-43.smt2,sat,488
symcc-assertions-44.smt2,sat,1008
symcc-assertions-45.smt2,sat,943
symcc-assertions-46.smt2,sat,925
symcc-assertions-47.smt2,sat,905
symcc-assertions-48.smt2,sat,800
symcc-assertions-49.smt2,sat,960
symcc-assertions-5.smt2,sat,78
symcc-assertions-6.smt2,sat,78
symcc-assertions-7.smt2,sat,77
symcc-assertions-8.smt2,sat,75
symcc-assertions-9.smt2,sat,73
