file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,72
symcc-unsat-1.smt2,sat,73
symcc-unsat-10.smt2,sat,91
symcc-unsat-11.smt2,sat,87
symcc-unsat-12.smt2,sat,87
symcc-unsat-13.smt2,sat,86
symcc-unsat-14.smt2,sat,87
symcc-unsat-15.smt2,sat,86
symcc-unsat-16.smt2,sat,81
symcc-unsat-17.smt2,sat,81
symcc-unsat-18.smt2,sat,81
symcc-unsat-19.smt2,sat,80
symcc-unsat-2.smt2,sat,69
symcc-unsat-20.smt2,sat,82
symcc-unsat-21.smt2,sat,82
symcc-unsat-22.smt2,sat,103
symcc-unsat-23.smt2,sat,111
symcc-unsat-24.smt2,sat,184
symcc-unsat-25.smt2,sat,196
symcc-unsat-26.smt2,sat,342
symcc-unsat-27.smt2,sat,324
symcc-unsat-28.smt2,sat,346
symcc-unsat-29.smt2,sat,341
symcc-unsat-3.smt2,sat,75
symcc-unsat-30.smt2,sat,329
symcc-unsat-31.smt2,sat,324
symcc-unsat-32.smt2,sat,268
symcc-unsat-33.smt2,sat,285
symcc-unsat-34.smt2,sat,293
symcc-unsat-35.smt2,sat,337
symcc-unsat-36.smt2,sat,343
symcc-unsat-37.smt2,sat,705
symcc-unsat-38.smt2,sat,760
symcc-unsat-39.smt2,sat,810
symcc-unsat-4.smt2,sat,79
symcc-unsat-40.smt2,sat,773
symcc-unsat-41.smt2,sat,760
symcc-unsat-42.smt2,sat,744
symcc-unsat-43.smt2,sat,717
symcc-unsat-44.smt2,sat,752
symcc-unsat-45.smt2,sat,753
symcc-unsat-46.smt2,sat,755
symcc-unsat-47.smt2,sat,753
symcc-unsat-48.smt2,sat,905
symcc-unsat-49.smt2,sat,895
symcc-unsat-5.smt2,sat,76
symcc-unsat-6.smt2,sat,77
symcc-unsat-7.smt2,sat,76
symcc-unsat-8.smt2,sat,79
symcc-unsat-9.smt2,sat,87
