file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,70
symcc-unsat-1.smt2,sat,68
symcc-unsat-10.smt2,sat,88
symcc-unsat-11.smt2,sat,87
symcc-unsat-12.smt2,sat,85
symcc-unsat-13.smt2,sat,87
symcc-unsat-14.smt2,sat,88
symcc-unsat-15.smt2,sat,87
symcc-unsat-16.smt2,sat,81
symcc-unsat-17.smt2,sat,81
symcc-unsat-18.smt2,sat,82
symcc-unsat-19.smt2,sat,82
symcc-unsat-2.smt2,sat,70
symcc-unsat-20.smt2,sat,82
symcc-unsat-21.smt2,sat,82
symcc-unsat-22.smt2,sat,103
symcc-unsat-23.smt2,sat,113
symcc-unsat-24.smt2,sat,184
symcc-unsat-25.smt2,sat,183
symcc-unsat-26.smt2,sat,343
symcc-unsat-27.smt2,sat,323
symcc-unsat-28.smt2,sat,331
symcc-unsat-29.smt2,sat,330
symcc-unsat-3.smt2,sat,73
symcc-unsat-30.smt2,sat,322
symcc-unsat-31.smt2,sat,318
symcc-unsat-32.smt2,sat,271
symcc-unsat-33.smt2,sat,307
symcc-unsat-34.smt2,sat,316
symcc-unsat-35.smt2,sat,339
symcc-unsat-36.smt2,sat,346
symcc-unsat-37.smt2,sat,738
symcc-unsat-38.smt2,sat,791
symcc-unsat-39.smt2,sat,753
symcc-unsat-4.smt2,sat,77
symcc-unsat-40.smt2,sat,727
symcc-unsat-41.smt2,sat,723
symcc-unsat-42.smt2,sat,743
symcc-unsat-43.smt2,sat,750
symcc-unsat-44.smt2,sat,808
symcc-unsat-45.smt2,sat,794
symcc-unsat-46.smt2,sat,789
symcc-unsat-47.smt2,sat,814
symcc-unsat-48.smt2,sat,934
symcc-unsat-49.smt2,sat,920
symcc-unsat-50.smt2,sat,1010
symcc-unsat-51.smt2,sat,990
symcc-unsat-52.smt2,sat,969
symcc-unsat-53.smt2,sat,1010
symcc-unsat-54.smt2,sat,996
