file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,69
symcc-unsat-1.smt2,sat,66
symcc-unsat-10.smt2,sat,70
symcc-unsat-11.smt2,sat,74
symcc-unsat-12.smt2,sat,81
symcc-unsat-13.smt2,sat,77
symcc-unsat-14.smt2,sat,75
symcc-unsat-15.smt2,sat,77
symcc-unsat-16.smt2,sat,80
symcc-unsat-17.smt2,sat,78
symcc-unsat-18.smt2,sat,79
symcc-unsat-19.smt2,sat,85
symcc-unsat-2.smt2,sat,69
symcc-unsat-20.smt2,sat,82
symcc-unsat-21.smt2,sat,98
symcc-unsat-22.smt2,sat,87
symcc-unsat-23.smt2,sat,92
symcc-unsat-24.smt2,sat,93
symcc-unsat-25.smt2,sat,91
symcc-unsat-26.smt2,sat,95
symcc-unsat-27.smt2,sat,107
symcc-unsat-28.smt2,sat,105
symcc-unsat-29.smt2,sat,107
symcc-unsat-3.smt2,sat,73
symcc-unsat-30.smt2,sat,106
symcc-unsat-31.smt2,sat,109
symcc-unsat-32.smt2,sat,110
symcc-unsat-33.smt2,sat,110
symcc-unsat-34.smt2,sat,116
symcc-unsat-35.smt2,sat,110
symcc-unsat-36.smt2,sat,115
symcc-unsat-37.smt2,sat,121
symcc-unsat-38.smt2,sat,121
symcc-unsat-39.smt2,sat,122
symcc-unsat-4.smt2,sat,75
symcc-unsat-40.smt2,sat,123
symcc-unsat-41.smt2,sat,129
symcc-unsat-42.smt2,sat,135
symcc-unsat-43.smt2,sat,132
symcc-unsat-44.smt2,sat,131
symcc-unsat-45.smt2,sat,134
symcc-unsat-46.smt2,sat,137
symcc-unsat-47.smt2,sat,162
symcc-unsat-48.smt2,sat,183
symcc-unsat-49.smt2,sat,163
symcc-unsat-5.smt2,sat,70
symcc-unsat-6.smt2,sat,72
symcc-unsat-7.smt2,sat,76
symcc-unsat-8.smt2,sat,75
symcc-unsat-9.smt2,sat,73
