file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,123
symcc-assertions-1.smt2,sat,68
symcc-assertions-10.smt2,sat,3536
symcc-assertions-11.smt2,sat,687
symcc-assertions-12.smt2,TIMEOUT,300123
symcc-assertions-13.smt2,unsat,119
symcc-assertions-14.smt2,TIMEOUT,300097
symcc-assertions-15.smt2,unsat,102
symcc-assertions-16.smt2,TIMEOUT,300126
symcc-assertions-17.smt2,TIMEOUT,300151
symcc-assertions-18.smt2,unsat,164
symcc-assertions-19.smt2,TIMEOUT,300153
symcc-assertions-2.smt2,unsat,146
symcc-assertions-20.smt2,TIMEOUT,300184
symcc-assertions-21.smt2,TIMEOUT,300183
symcc-assertions-22.smt2,unsat,162
symcc-assertions-23.smt2,unsat,170
symcc-assertions-24.smt2,TIMEOUT,300227
symcc-assertions-25.smt2,TIMEOUT,300159
symcc-assertions-26.smt2,unsat,159
symcc-assertions-27.smt2,TIMEOUT,300154
symcc-assertions-28.smt2,TIMEOUT,300203
symcc-assertions-29.smt2,TIMEOUT,300170
symcc-assertions-3.smt2,sat,167
symcc-assertions-30.smt2,TIMEOUT,300188
symcc-assertions-31.smt2,TIMEOUT,300184
symcc-assertions-32.smt2,TIMEOUT,300151
symcc-assertions-33.smt2,unsat,163
symcc-assertions-34.smt2,unsat,169
symcc-assertions-35.smt2,TIMEOUT,300212
symcc-assertions-36.smt2,TIMEOUT,300383
symcc-assertions-37.smt2,unsat,385
symcc-assertions-38.smt2,TIMEOUT,300189
symcc-assertions-39.smt2,unsat,249
symcc-assertions-4.smt2,unsat,184
symcc-assertions-40.smt2,TIMEOUT,300202
symcc-assertions-41.smt2,TIMEOUT,300201
symcc-assertions-42.smt2,TIMEOUT,300197
symcc-assertions-43.smt2,unsat,288
symcc-assertions-44.smt2,unsat,15193
symcc-assertions-45.smt2,TIMEOUT,300216
symcc-assertions-46.smt2,TIMEOUT,300211
symcc-assertions-47.smt2,unsat,208
symcc-assertions-48.smt2,unsat,233
symcc-assertions-49.smt2,unsat,204
symcc-assertions-5.smt2,sat,364
symcc-assertions-6.smt2,sat,276
symcc-assertions-7.smt2,sat,425
symcc-assertions-8.smt2,sat,702
symcc-assertions-9.smt2,sat,593
