file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,72
symcc-unsat-1.smt2,sat,77
symcc-unsat-10.smt2,sat,783
symcc-unsat-11.smt2,sat,598
symcc-unsat-12.smt2,sat,43784
symcc-unsat-13.smt2,sat,128943
symcc-unsat-14.smt2,TIMEOUT,300113
symcc-unsat-15.smt2,TIMEOUT,300129
symcc-unsat-16.smt2,TIMEOUT,300167
symcc-unsat-17.smt2,TIMEOUT,300174
symcc-unsat-18.smt2,TIMEOUT,300150
symcc-unsat-19.smt2,TIMEOUT,300161
symcc-unsat-2.smt2,sat,163
symcc-unsat-20.smt2,TIMEOUT,300154
symcc-unsat-21.smt2,TIMEOUT,300218
symcc-unsat-22.smt2,TIMEOUT,300161
symcc-unsat-23.smt2,TIMEOUT,300161
symcc-unsat-24.smt2,TIMEOUT,300186
symcc-unsat-25.smt2,TIMEOUT,300170
symcc-unsat-26.smt2,TIMEOUT,300171
symcc-unsat-27.smt2,TIMEOUT,300194
symcc-unsat-28.smt2,TIMEOUT,300221
symcc-unsat-29.smt2,TIMEOUT,300223
symcc-unsat-3.smt2,sat,277
symcc-unsat-30.smt2,TIMEOUT,300237
symcc-unsat-31.smt2,TIMEOUT,300208
symcc-unsat-32.smt2,TIMEOUT,300223
symcc-unsat-33.smt2,TIMEOUT,300191
symcc-unsat-34.smt2,TIMEOUT,300228
symcc-unsat-35.smt2,TIMEOUT,300382
symcc-unsat-36.smt2,TIMEOUT,300190
symcc-unsat-37.smt2,TIMEOUT,942045
symcc-unsat-38.smt2,TIMEOUT,2768828
symcc-unsat-39.smt2,TIMEOUT,300212
symcc-unsat-4.smt2,sat,316
symcc-unsat-40.smt2,TIMEOUT,300221
symcc-unsat-41.smt2,TIMEOUT,300208
symcc-unsat-42.smt2,TIMEOUT,300199
symcc-unsat-43.smt2,TIMEOUT,300201
symcc-unsat-44.smt2,TIMEOUT,300181
symcc-unsat-45.smt2,TIMEOUT,300186
symcc-unsat-46.smt2,TIMEOUT,300143
symcc-unsat-47.smt2,TIMEOUT,300201
symcc-unsat-48.smt2,TIMEOUT,300204
symcc-unsat-49.smt2,TIMEOUT,300199
symcc-unsat-5.smt2,sat,243
symcc-unsat-6.smt2,sat,364
symcc-unsat-7.smt2,sat,475
symcc-unsat-8.smt2,sat,598
symcc-unsat-9.smt2,sat,921
