file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,89
symcc-assertions-1.smt2,sat,90
symcc-assertions-10.smt2,sat,1517
symcc-assertions-11.smt2,sat,1133
symcc-assertions-12.smt2,sat,5630
symcc-assertions-13.smt2,unsat,100
symcc-assertions-14.smt2,TIMEOUT,300123
symcc-assertions-15.smt2,unsat,128
symcc-assertions-16.smt2,TIMEOUT,300123
symcc-assertions-17.smt2,TIMEOUT,300125
symcc-assertions-18.smt2,unsat,160
symcc-assertions-19.smt2,TIMEOUT,300199
symcc-assertions-2.smt2,unsat,156
symcc-assertions-20.smt2,TIMEOUT,300232
symcc-assertions-21.smt2,TIMEOUT,300191
symcc-assertions-22.smt2,unsat,170
symcc-assertions-23.smt2,unsat,168
symcc-assertions-24.smt2,TIMEOUT,300202
symcc-assertions-25.smt2,TIMEOUT,300204
symcc-assertions-26.smt2,unsat,197
symcc-assertions-27.smt2,TIMEOUT,300212
symcc-assertions-28.smt2,TIMEOUT,300210
symcc-assertions-29.smt2,TIMEOUT,300237
symcc-assertions-3.smt2,sat,161
symcc-assertions-30.smt2,TIMEOUT,300193
symcc-assertions-31.smt2,TIMEOUT,300201
symcc-assertions-32.smt2,TIMEOUT,300246
symcc-assertions-33.smt2,unsat,208
symcc-assertions-34.smt2,unsat,226
symcc-assertions-35.smt2,TIMEOUT,300194
symcc-assertions-36.smt2,TIMEOUT,300212
symcc-assertions-37.smt2,unsat,197
symcc-assertions-38.smt2,TIMEOUT,300214
symcc-assertions-39.smt2,unsat,248
symcc-assertions-4.smt2,unsat,242
symcc-assertions-40.smt2,TIMEOUT,300165
symcc-assertions-41.smt2,TIMEOUT,300211
symcc-assertions-42.smt2,TIMEOUT,300195
symcc-assertions-43.smt2,unsat,261
symcc-assertions-44.smt2,TIMEOUT,300219
symcc-assertions-45.smt2,TIMEOUT,300234
symcc-assertions-46.smt2,TIMEOUT,300204
symcc-assertions-47.smt2,unsat,182
symcc-assertions-48.smt2,unsat,232
symcc-assertions-49.smt2,unsat,211
symcc-assertions-50.smt2,TIMEOUT,300189
symcc-assertions-51.smt2,TIMEOUT,3410431
symcc-assertions-52.smt2,unsat,307
symcc-assertions-53.smt2,TIMEOUT,300440
symcc-assertions-54.smt2,unsat,1065
