file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,92
symcc-unsat-1.smt2,sat,96
symcc-unsat-10.smt2,sat,878
symcc-unsat-11.smt2,sat,560
symcc-unsat-12.smt2,sat,45325
symcc-unsat-13.smt2,sat,190324
symcc-unsat-14.smt2,TIMEOUT,300080
symcc-unsat-15.smt2,TIMEOUT,300107
symcc-unsat-16.smt2,TIMEOUT,300176
symcc-unsat-17.smt2,TIMEOUT,300188
symcc-unsat-18.smt2,TIMEOUT,300187
symcc-unsat-19.smt2,TIMEOUT,300208
symcc-unsat-2.smt2,sat,161
symcc-unsat-20.smt2,TIMEOUT,300219
symcc-unsat-21.smt2,TIMEOUT,300178
symcc-unsat-22.smt2,TIMEOUT,300179
symcc-unsat-23.smt2,TIMEOUT,300181
symcc-unsat-24.smt2,TIMEOUT,300189
symcc-unsat-25.smt2,TIMEOUT,300195
symcc-unsat-26.smt2,TIMEOUT,300208
symcc-unsat-27.smt2,TIMEOUT,300175
symcc-unsat-28.smt2,TIMEOUT,300213
symcc-unsat-29.smt2,TIMEOUT,300212
symcc-unsat-3.smt2,sat,225
symcc-unsat-30.smt2,TIMEOUT,300189
symcc-unsat-31.smt2,TIMEOUT,300194
symcc-unsat-32.smt2,TIMEOUT,300208
symcc-unsat-33.smt2,TIMEOUT,300191
symcc-unsat-34.smt2,TIMEOUT,300163
symcc-unsat-35.smt2,TIMEOUT,300160
symcc-unsat-36.smt2,TIMEOUT,300165
symcc-unsat-37.smt2,TIMEOUT,1871081
symcc-unsat-38.smt2,TIMEOUT,1840197
symcc-unsat-39.smt2,TIMEOUT,300255
symcc-unsat-4.smt2,sat,298
symcc-unsat-40.smt2,TIMEOUT,300196
symcc-unsat-41.smt2,TIMEOUT,300165
symcc-unsat-42.smt2,TIMEOUT,300196
symcc-unsat-43.smt2,TIMEOUT,300199
symcc-unsat-44.smt2,TIMEOUT,300202
symcc-unsat-45.smt2,TIMEOUT,300164
symcc-unsat-46.smt2,TIMEOUT,300165
symcc-unsat-47.smt2,TIMEOUT,300173
symcc-unsat-48.smt2,TIMEOUT,300166
symcc-unsat-49.smt2,TIMEOUT,300137
symcc-unsat-50.smt2,TIMEOUT,300173
symcc-unsat-51.smt2,TIMEOUT,300250
symcc-unsat-52.smt2,TIMEOUT,300185
symcc-unsat-53.smt2,TIMEOUT,300192
symcc-unsat-54.smt2,TIMEOUT,300158
