file_name,result,runtime_ms
symcc-assertions-0.smt2,unknown,2416
symcc-assertions-10.smt2,unknown,2511
symcc-assertions-11.smt2,unknown,2879
symcc-assertions-12.smt2,unknown,2249
symcc-assertions-13.smt2,unknown,1955
symcc-assertions-14.smt2,unknown,1963
symcc-assertions-15.smt2,unknown,1996
symcc-assertions-16.smt2,unknown,2145
symcc-assertions-17.smt2,unknown,2539
symcc-assertions-18.smt2,unknown,2347
symcc-assertions-19.smt2,unknown,2061
symcc-assertions-1.smt2,unknown,2711
symcc-assertions-20.smt2,unknown,2742
symcc-assertions-21.smt2,unknown,2705
symcc-assertions-22.smt2,unknown,2729
symcc-assertions-23.smt2,unknown,2790
symcc-assertions-24.smt2,unknown,2029
symcc-assertions-25.smt2,unknown,1781
symcc-assertions-26.smt2,unknown,2053
symcc-assertions-27.smt2,unknown,1885
symcc-assertions-28.smt2,unknown,1830
symcc-assertions-29.smt2,unknown,2662
symcc-assertions-2.smt2,unknown,2926
symcc-assertions-30.smt2,unknown,2917
symcc-assertions-31.smt2,unknown,2991
symcc-assertions-32.smt2,unknown,2629
symcc-assertions-33.smt2,unknown,4252
symcc-assertions-34.smt2,unknown,3063
symcc-assertions-35.smt2,unknown,2937
symcc-assertions-36.smt2,unknown,2572
symcc-assertions-37.smt2,unknown,1924
symcc-assertions-38.smt2,unknown,3043
symcc-assertions-39.smt2,unknown,3111
symcc-assertions-3.smt2,unknown,2823
symcc-assertions-40.smt2,unknown,3040
symcc-assertions-41.smt2,unknown,2487
symcc-assertions-42.smt2,unknown,2211
symcc-assertions-43.smt2,unknown,1891
symcc-assertions-44.smt2,unknown,2998
symcc-assertions-45.smt2,unknown,2594
symcc-assertions-46.smt2,unknown,1979
symcc-assertions-47.smt2,unknown,2560
symcc-assertions-48.smt2,unknown,2649
symcc-assertions-49.smt2,unknown,2640
symcc-assertions-4.smt2,unknown,3209
symcc-assertions-5.smt2,unknown,2650
symcc-assertions-6.smt2,unknown,2739
symcc-assertions-7.smt2,unknown,2787
symcc-assertions-8.smt2,unknown,3147
symcc-assertions-9.smt2,unknown,2213
