file_name,result,runtime_ms
symcc-unsat-0.smt2,unknown,2427
symcc-unsat-10.smt2,unknown,2378
symcc-unsat-11.smt2,unknown,2440
symcc-unsat-12.smt2,unknown,2858
symcc-unsat-13.smt2,unknown,2795
symcc-unsat-14.smt2,unknown,2268
symcc-unsat-15.smt2,unknown,2982
symcc-unsat-16.smt2,unknown,2543
symcc-unsat-17.smt2,unknown,2530
symcc-unsat-18.smt2,unknown,2290
symcc-unsat-19.smt2,unknown,2888
symcc-unsat-1.smt2,unknown,2727
symcc-unsat-20.smt2,unknown,2544
symcc-unsat-21.smt2,unknown,2980
symcc-unsat-22.smt2,unknown,3092
symcc-unsat-23.smt2,unknown,1992
symcc-unsat-24.smt2,unknown,1958
symcc-unsat-25.smt2,unknown,1791
symcc-unsat-26.smt2,unknown,1819
symcc-unsat-27.smt2,unknown,2588
symcc-unsat-28.smt2,unknown,1683
symcc-unsat-29.smt2,unknown,3548
symcc-unsat-2.smt2,unknown,2803
symcc-unsat-30.smt2,unknown,2810
symcc-unsat-31.smt2,unknown,3148
symcc-unsat-32.smt2,unknown,2449
symcc-unsat-33.smt2,unknown,1963
symcc-unsat-34.smt2,unknown,2000
symcc-unsat-35.smt2,unknown,2229
symcc-unsat-36.smt2,unknown,2249
symcc-unsat-37.smt2,unknown,2146
symcc-unsat-38.smt2,unknown,1873
symcc-unsat-39.smt2,unknown,2187
symcc-unsat-3.smt2,unknown,1822
symcc-unsat-40.smt2,unknown,1828
symcc-unsat-41.smt2,unknown,1824
symcc-unsat-42.smt2,unknown,1871
symcc-unsat-43.smt2,unknown,1913
symcc-unsat-44.smt2,unknown,1823
symcc-unsat-45.smt2,unknown,1862
symcc-unsat-46.smt2,unknown,1926
symcc-unsat-47.smt2,unknown,1857
symcc-unsat-48.smt2,unknown,2827
symcc-unsat-49.smt2,unknown,1589
symcc-unsat-4.smt2,unknown,2421
symcc-unsat-5.smt2,unknown,2736
symcc-unsat-6.smt2,unknown,1835
symcc-unsat-7.smt2,unknown,2082
symcc-unsat-8.smt2,unknown,2039
symcc-unsat-9.smt2,unknown,1874
