file_name,result,runtime_ms
symcc-unsat-0.smt2,unknown,944
symcc-unsat-100.smt2,unknown,1157
symcc-unsat-101.smt2,unknown,1281
symcc-unsat-102.smt2,unknown,1198
symcc-unsat-103.smt2,unknown,1124
symcc-unsat-104.smt2,unknown,1154
symcc-unsat-105.smt2,unknown,1232
symcc-unsat-106.smt2,unknown,1242
symcc-unsat-107.smt2,unknown,1253
symcc-unsat-108.smt2,unknown,1201
symcc-unsat-109.smt2,unknown,1229
symcc-unsat-10.smt2,unknown,1029
symcc-unsat-110.smt2,unknown,1171
symcc-unsat-111.smt2,unknown,1383
symcc-unsat-112.smt2,unknown,1750
symcc-unsat-113.smt2,unknown,1499
symcc-unsat-114.smt2,unknown,1787
symcc-unsat-115.smt2,unknown,1580
symcc-unsat-116.smt2,unknown,1155
symcc-unsat-117.smt2,unknown,1523
symcc-unsat-118.smt2,unknown,1333
symcc-unsat-119.smt2,unknown,1306
symcc-unsat-11.smt2,unknown,1394
symcc-unsat-120.smt2,unknown,1362
symcc-unsat-121.smt2,unknown,1377
symcc-unsat-122.smt2,unknown,1256
symcc-unsat-123.smt2,unknown,1392
symcc-unsat-124.smt2,unknown,1413
symcc-unsat-125.smt2,unknown,1337
symcc-unsat-126.smt2,unknown,1297
symcc-unsat-127.smt2,unknown,1849
symcc-unsat-128.smt2,unknown,1735
symcc-unsat-129.smt2,unknown,1166
symcc-unsat-12.smt2,unknown,1074
symcc-unsat-130.smt2,unknown,1289
symcc-unsat-131.smt2,unknown,1359
symcc-unsat-132.smt2,unknown,1298
symcc-unsat-133.smt2,unknown,1320
symcc-unsat-134.smt2,unknown,1373
symcc-unsat-135.smt2,unknown,1371
symcc-unsat-136.smt2,unknown,1266
symcc-unsat-137.smt2,unknown,2409
symcc-unsat-138.smt2,unknown,3194
symcc-unsat-139.smt2,unknown,4415
symcc-unsat-13.smt2,unknown,2250
symcc-unsat-140.smt2,unknown,2413
symcc-unsat-141.smt2,unknown,2291
symcc-unsat-142.smt2,unknown,1752
symcc-unsat-143.smt2,unknown,2078
symcc-unsat-144.smt2,unknown,2245
