file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,1343
symcc-assertions-10.smt2,unsat,1451
symcc-assertions-11.smt2,unsat,1269
symcc-assertions-12.smt2,sat,5076
symcc-assertions-13.smt2,unsat,1504
symcc-assertions-14.smt2,unsat,2329
symcc-assertions-15.smt2,unsat,17238
symcc-assertions-16.smt2,unsat,2242
symcc-assertions-17.smt2,sat,8608
symcc-assertions-18.smt2,sat,9113
symcc-assertions-19.smt2,unsat,2864
symcc-assertions-1.smt2,sat,4823
symcc-assertions-20.smt2,unsat,5499
symcc-assertions-21.smt2,sat,38970
symcc-assertions-22.smt2,unsat,5948
symcc-assertions-23.smt2,sat,21034
symcc-assertions-24.smt2,sat,17759
symcc-assertions-25.smt2,unsat,5939
symcc-assertions-26.smt2,unsat,6882
symcc-assertions-27.smt2,unsat,12037
symcc-assertions-28.smt2,unsat,3989
symcc-assertions-29.smt2,unsat,8903
symcc-assertions-2.smt2,sat,12942
symcc-assertions-30.smt2,unsat,8137
symcc-assertions-31.smt2,unsat,7443
symcc-assertions-32.smt2,unsat,6097
symcc-assertions-33.smt2,unsat,38872
symcc-assertions-34.smt2,unsat,7896
symcc-assertions-35.smt2,unsat,47285
symcc-assertions-36.smt2,timeout,61211
symcc-assertions-37.smt2,timeout,61231
symcc-assertions-38.smt2,unsat,7799
symcc-assertions-39.smt2,unsat,52381
symcc-assertions-3.smt2,unsat,15531
symcc-assertions-40.smt2,unsat,8652
symcc-assertions-41.smt2,unsat,34476
symcc-assertions-42.smt2,unsat,4389
symcc-assertions-4.smt2,sat,14306
symcc-assertions-5.smt2,unsat,25212
symcc-assertions-6.smt2,unsat,3370
symcc-assertions-7.smt2,sat,16231
symcc-assertions-8.smt2,sat,46285
symcc-assertions-9.smt2,unsat,4978
