file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,3643
symcc-unsat-10.smt2,sat,39830
symcc-unsat-11.smt2,sat,57865
symcc-unsat-12.smt2,sat,23150
symcc-unsat-13.smt2,sat,17784
symcc-unsat-14.smt2,sat,16276
symcc-unsat-15.smt2,sat,35114
symcc-unsat-16.smt2,sat,28493
symcc-unsat-17.smt2,sat,14668
symcc-unsat-18.smt2,sat,14893
symcc-unsat-19.smt2,sat,19719
symcc-unsat-1.smt2,sat,10321
symcc-unsat-20.smt2,sat,13363
symcc-unsat-21.smt2,sat,14156
symcc-unsat-22.smt2,sat,12768
symcc-unsat-23.smt2,sat,10610
symcc-unsat-24.smt2,sat,20268
symcc-unsat-25.smt2,sat,18640
symcc-unsat-26.smt2,sat,18522
symcc-unsat-27.smt2,sat,18356
symcc-unsat-28.smt2,sat,10408
symcc-unsat-29.smt2,sat,13831
symcc-unsat-2.smt2,sat,8840
symcc-unsat-30.smt2,sat,14401
symcc-unsat-31.smt2,sat,18017
symcc-unsat-32.smt2,sat,19882
symcc-unsat-33.smt2,sat,11764
symcc-unsat-34.smt2,sat,13965
symcc-unsat-35.smt2,sat,19642
symcc-unsat-36.smt2,sat,31248
symcc-unsat-37.smt2,sat,21928
symcc-unsat-38.smt2,sat,25761
symcc-unsat-39.smt2,sat,17789
symcc-unsat-3.smt2,sat,11521
symcc-unsat-40.smt2,sat,21042
symcc-unsat-41.smt2,sat,22517
symcc-unsat-42.smt2,sat,24347
symcc-unsat-4.smt2,sat,16311
symcc-unsat-5.smt2,sat,23600
symcc-unsat-6.smt2,sat,23221
symcc-unsat-7.smt2,sat,24498
symcc-unsat-8.smt2,sat,40640
symcc-unsat-9.smt2,sat,27450
