file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,5246
symcc-assertions-10.smt2,unsat,2740
symcc-assertions-11.smt2,unsat,2369
symcc-assertions-12.smt2,sat,6754
symcc-assertions-13.smt2,unsat,2497
symcc-assertions-14.smt2,unsat,2363
symcc-assertions-15.smt2,unsat,15788
symcc-assertions-16.smt2,unsat,4293
symcc-assertions-17.smt2,sat,15896
symcc-assertions-18.smt2,sat,19304
symcc-assertions-19.smt2,unsat,5960
symcc-assertions-1.smt2,sat,4716
symcc-assertions-20.smt2,unsat,2147
symcc-assertions-21.smt2,sat,12462
symcc-assertions-22.smt2,unsat,1613
symcc-assertions-23.smt2,sat,7096
symcc-assertions-24.smt2,sat,6207
symcc-assertions-25.smt2,unsat,3126
symcc-assertions-26.smt2,unsat,2598
symcc-assertions-27.smt2,unsat,3390
symcc-assertions-28.smt2,unsat,1772
symcc-assertions-29.smt2,unsat,2480
symcc-assertions-2.smt2,sat,4068
symcc-assertions-30.smt2,unsat,2641
symcc-assertions-31.smt2,unsat,2214
symcc-assertions-32.smt2,unsat,2419
symcc-assertions-33.smt2,unsat,13131
symcc-assertions-34.smt2,unsat,2085
symcc-assertions-35.smt2,unsat,12436
symcc-assertions-36.smt2,timeout,60801
symcc-assertions-37.smt2,timeout,60082
symcc-assertions-38.smt2,unsat,2649
symcc-assertions-39.smt2,unsat,18292
symcc-assertions-3.smt2,unsat,6760
symcc-assertions-40.smt2,unsat,3734
symcc-assertions-41.smt2,unsat,16601
symcc-assertions-42.smt2,unsat,3454
symcc-assertions-4.smt2,sat,6386
symcc-assertions-5.smt2,unsat,10796
symcc-assertions-6.smt2,unsat,1918
symcc-assertions-7.smt2,sat,7202
symcc-assertions-8.smt2,sat,23584
symcc-assertions-9.smt2,unsat,2210
