file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,2063
symcc-unsat-10.smt2,sat,15576
symcc-unsat-11.smt2,sat,13026
symcc-unsat-12.smt2,sat,4980
symcc-unsat-13.smt2,sat,4607
symcc-unsat-14.smt2,sat,4852
symcc-unsat-15.smt2,sat,10499
symcc-unsat-16.smt2,sat,10560
symcc-unsat-17.smt2,sat,5361
symcc-unsat-18.smt2,sat,5289
symcc-unsat-19.smt2,sat,5255
symcc-unsat-1.smt2,sat,5642
symcc-unsat-20.smt2,sat,5656
symcc-unsat-21.smt2,sat,6453
symcc-unsat-22.smt2,sat,7867
symcc-unsat-23.smt2,sat,5838
symcc-unsat-24.smt2,sat,6580
symcc-unsat-25.smt2,sat,6346
symcc-unsat-26.smt2,sat,5911
symcc-unsat-27.smt2,sat,6787
symcc-unsat-28.smt2,sat,6101
symcc-unsat-29.smt2,sat,7432
symcc-unsat-2.smt2,sat,4034
symcc-unsat-30.smt2,sat,6392
symcc-unsat-31.smt2,sat,6922
symcc-unsat-32.smt2,sat,4879
symcc-unsat-33.smt2,sat,3632
symcc-unsat-34.smt2,sat,3703
symcc-unsat-35.smt2,sat,4270
symcc-unsat-36.smt2,sat,4027
symcc-unsat-37.smt2,sat,3676
symcc-unsat-38.smt2,sat,3941
symcc-unsat-39.smt2,sat,3701
symcc-unsat-3.smt2,sat,2853
symcc-unsat-40.smt2,sat,4042
symcc-unsat-41.smt2,sat,3950
symcc-unsat-42.smt2,sat,3755
symcc-unsat-4.smt2,sat,3272
symcc-unsat-5.smt2,sat,12314
symcc-unsat-6.smt2,sat,17081
symcc-unsat-7.smt2,sat,18837
symcc-unsat-8.smt2,sat,19797
symcc-unsat-9.smt2,sat,18753
symcc-unsat-reset-21.smt2,sat,9565
