file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,4028
symcc-assertions-10.smt2,timeout,60219
symcc-assertions-11.smt2,timeout,60151
symcc-assertions-12.smt2,timeout,60282
symcc-assertions-13.smt2,timeout,60139
symcc-assertions-14.smt2,timeout,60140
symcc-assertions-15.smt2,timeout,60267
symcc-assertions-16.smt2,timeout,60153
symcc-assertions-17.smt2,timeout,60214
symcc-assertions-18.smt2,timeout,60135
symcc-assertions-19.smt2,timeout,60126
symcc-assertions-1.smt2,sat,7928
symcc-assertions-20.smt2,timeout,60178
symcc-assertions-21.smt2,timeout,60800
symcc-assertions-22.smt2,unknown,2351
symcc-assertions-23.smt2,unknown,2456
symcc-assertions-24.smt2,unknown,2367
symcc-assertions-25.smt2,unknown,2541
symcc-assertions-26.smt2,unknown,2166
symcc-assertions-27.smt2,unknown,2401
symcc-assertions-28.smt2,unknown,2747
symcc-assertions-29.smt2,unknown,2682
symcc-assertions-2.smt2,sat,6419
symcc-assertions-30.smt2,unknown,3019
symcc-assertions-31.smt2,unknown,2644
symcc-assertions-32.smt2,unknown,2446
symcc-assertions-33.smt2,unknown,2945
symcc-assertions-34.smt2,unknown,2582
symcc-assertions-35.smt2,unknown,2409
symcc-assertions-36.smt2,unknown,2360
symcc-assertions-37.smt2,unknown,2465
symcc-assertions-38.smt2,unknown,1882
symcc-assertions-39.smt2,unknown,1979
symcc-assertions-3.smt2,sat,7144
symcc-assertions-40.smt2,unknown,2718
symcc-assertions-41.smt2,unknown,2641
symcc-assertions-42.smt2,unknown,2488
symcc-assertions-43.smt2,unknown,1742
symcc-assertions-44.smt2,unknown,2071
symcc-assertions-45.smt2,unknown,1775
symcc-assertions-46.smt2,unknown,1624
symcc-assertions-47.smt2,unknown,1840
symcc-assertions-48.smt2,unknown,1997
symcc-assertions-49.smt2,unknown,1915
symcc-assertions-4.smt2,sat,20105
symcc-assertions-5.smt2,sat,21466
symcc-assertions-6.smt2,sat,17885
symcc-assertions-7.smt2,sat,7820
symcc-assertions-8.smt2,sat,14326
symcc-assertions-9.smt2,sat,6890
