file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,3845
symcc-unsat-10.smt2,timeout,60130
symcc-unsat-11.smt2,sat,14467
symcc-unsat-12.smt2,timeout,60486
symcc-unsat-13.smt2,sat,13009
symcc-unsat-14.smt2,sat,14729
symcc-unsat-15.smt2,sat,15322
symcc-unsat-16.smt2,timeout,60151
symcc-unsat-17.smt2,timeout,60184
symcc-unsat-18.smt2,timeout,60121
symcc-unsat-19.smt2,sat,8421
symcc-unsat-1.smt2,sat,4601
symcc-unsat-20.smt2,sat,10550
symcc-unsat-21.smt2,sat,10499
symcc-unsat-22.smt2,unknown,2492
symcc-unsat-23.smt2,unknown,2710
symcc-unsat-24.smt2,unknown,2340
symcc-unsat-25.smt2,unknown,1582
symcc-unsat-26.smt2,unknown,3200
symcc-unsat-27.smt2,unknown,3253
symcc-unsat-28.smt2,unknown,2549
symcc-unsat-29.smt2,unknown,2517
symcc-unsat-2.smt2,sat,6310
symcc-unsat-30.smt2,unknown,2531
symcc-unsat-31.smt2,unknown,2346
symcc-unsat-32.smt2,unknown,2068
symcc-unsat-33.smt2,unknown,2402
symcc-unsat-34.smt2,unknown,3081
symcc-unsat-35.smt2,unknown,2849
symcc-unsat-36.smt2,unknown,2632
symcc-unsat-37.smt2,unknown,2402
symcc-unsat-38.smt2,unknown,2566
symcc-unsat-39.smt2,unknown,2619
symcc-unsat-3.smt2,sat,6967
symcc-unsat-40.smt2,unknown,2400
symcc-unsat-41.smt2,unknown,2213
symcc-unsat-42.smt2,unknown,2647
symcc-unsat-43.smt2,unknown,2923
symcc-unsat-44.smt2,unknown,2611
symcc-unsat-45.smt2,unknown,2763
symcc-unsat-46.smt2,unknown,2093
symcc-unsat-47.smt2,unknown,1659
symcc-unsat-48.smt2,unknown,1750
symcc-unsat-49.smt2,unknown,1868
symcc-unsat-4.smt2,sat,9084
symcc-unsat-5.smt2,sat,10478
symcc-unsat-6.smt2,sat,7260
symcc-unsat-7.smt2,sat,11363
symcc-unsat-8.smt2,sat,8248
symcc-unsat-9.smt2,timeout,60176
