file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,2638
symcc-assertions-10.smt2,timeout,60079
symcc-assertions-11.smt2,timeout,60052
symcc-assertions-12.smt2,timeout,60050
symcc-assertions-13.smt2,timeout,60058
symcc-assertions-14.smt2,timeout,60066
symcc-assertions-15.smt2,timeout,60053
symcc-assertions-16.smt2,timeout,60061
symcc-assertions-17.smt2,timeout,60058
symcc-assertions-18.smt2,timeout,60056
symcc-assertions-19.smt2,timeout,60057
symcc-assertions-1.smt2,sat,1904
symcc-assertions-20.smt2,timeout,60062
symcc-assertions-21.smt2,timeout,60074
symcc-assertions-22.smt2,unknown,942
symcc-assertions-23.smt2,unknown,962
symcc-assertions-24.smt2,unknown,919
symcc-assertions-25.smt2,unknown,1008
symcc-assertions-26.smt2,unknown,920
symcc-assertions-27.smt2,unknown,945
symcc-assertions-28.smt2,unknown,984
symcc-assertions-29.smt2,unknown,941
symcc-assertions-2.smt2,sat,2537
symcc-assertions-30.smt2,unknown,931
symcc-assertions-31.smt2,unknown,932
symcc-assertions-32.smt2,unknown,938
symcc-assertions-33.smt2,unknown,980
symcc-assertions-34.smt2,unknown,903
symcc-assertions-35.smt2,unknown,916
symcc-assertions-36.smt2,unknown,918
symcc-assertions-37.smt2,unknown,960
symcc-assertions-38.smt2,unknown,925
symcc-assertions-39.smt2,unknown,966
symcc-assertions-3.smt2,sat,2529
symcc-assertions-40.smt2,unknown,870
symcc-assertions-41.smt2,unknown,946
symcc-assertions-42.smt2,unknown,963
symcc-assertions-43.smt2,unknown,973
symcc-assertions-44.smt2,unknown,941
symcc-assertions-45.smt2,unknown,1005
symcc-assertions-46.smt2,unknown,966
symcc-assertions-47.smt2,unknown,1038
symcc-assertions-48.smt2,unknown,911
symcc-assertions-49.smt2,unknown,977
symcc-assertions-4.smt2,sat,9363
symcc-assertions-50.smt2,unknown,944
symcc-assertions-51.smt2,unknown,948
symcc-assertions-52.smt2,unknown,928
symcc-assertions-53.smt2,unknown,995
symcc-assertions-54.smt2,unknown,940
