file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,1411
symcc-unsat-10.smt2,timeout,60136
symcc-unsat-11.smt2,sat,9904
symcc-unsat-12.smt2,timeout,60126
symcc-unsat-13.smt2,sat,9913
symcc-unsat-14.smt2,sat,9126
symcc-unsat-15.smt2,sat,10059
symcc-unsat-16.smt2,timeout,60112
symcc-unsat-17.smt2,timeout,60078
symcc-unsat-18.smt2,timeout,60179
symcc-unsat-19.smt2,sat,4322
symcc-unsat-1.smt2,sat,2405
symcc-unsat-20.smt2,sat,4991
symcc-unsat-21.smt2,sat,5372
symcc-unsat-22.smt2,unknown,957
symcc-unsat-23.smt2,unknown,936
symcc-unsat-24.smt2,unknown,957
symcc-unsat-25.smt2,unknown,943
symcc-unsat-26.smt2,unknown,947
symcc-unsat-27.smt2,unknown,939
symcc-unsat-28.smt2,unknown,965
symcc-unsat-29.smt2,unknown,938
symcc-unsat-2.smt2,sat,2880
symcc-unsat-30.smt2,unknown,896
symcc-unsat-31.smt2,unknown,944
symcc-unsat-32.smt2,unknown,986
symcc-unsat-33.smt2,unknown,962
symcc-unsat-34.smt2,unknown,945
symcc-unsat-35.smt2,unknown,939
symcc-unsat-36.smt2,unknown,984
symcc-unsat-37.smt2,unknown,946
symcc-unsat-38.smt2,unknown,962
symcc-unsat-39.smt2,unknown,946
symcc-unsat-3.smt2,sat,2516
symcc-unsat-40.smt2,unknown,933
symcc-unsat-41.smt2,unknown,977
symcc-unsat-42.smt2,unknown,955
symcc-unsat-43.smt2,unknown,991
symcc-unsat-44.smt2,unknown,936
symcc-unsat-45.smt2,unknown,970
symcc-unsat-46.smt2,unknown,1006
symcc-unsat-47.smt2,unknown,968
symcc-unsat-48.smt2,unknown,923
symcc-unsat-49.smt2,unknown,1021
symcc-unsat-4.smt2,sat,4449
symcc-unsat-50.smt2,unknown,982
symcc-unsat-51.smt2,unknown,935
symcc-unsat-52.smt2,unknown,953
symcc-unsat-53.smt2,unknown,982
symcc-unsat-54.smt2,unknown,996
