file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,2869
symcc-assertions-10.smt2,sat,20492
symcc-assertions-11.smt2,sat,7589
symcc-assertions-12.smt2,sat,9432
symcc-assertions-13.smt2,sat,9494
symcc-assertions-14.smt2,sat,7139
symcc-assertions-15.smt2,sat,7448
symcc-assertions-16.smt2,sat,6602
symcc-assertions-17.smt2,sat,9127
symcc-assertions-18.smt2,sat,8782
symcc-assertions-19.smt2,sat,7591
symcc-assertions-1.smt2,unsat,4256
symcc-assertions-20.smt2,sat,6380
symcc-assertions-21.smt2,sat,7337
symcc-assertions-22.smt2,sat,9230
symcc-assertions-23.smt2,sat,6689
symcc-assertions-24.smt2,unsat,2591
symcc-assertions-25.smt2,unsat,2808
symcc-assertions-26.smt2,sat,9653
symcc-assertions-27.smt2,sat,9576
symcc-assertions-28.smt2,sat,9468
symcc-assertions-29.smt2,sat,10882
symcc-assertions-2.smt2,sat,4896
symcc-assertions-30.smt2,sat,7073
symcc-assertions-31.smt2,sat,6506
symcc-assertions-32.smt2,sat,20666
symcc-assertions-33.smt2,sat,17047
symcc-assertions-34.smt2,sat,15264
symcc-assertions-35.smt2,sat,16755
symcc-assertions-36.smt2,sat,9212
symcc-assertions-37.smt2,timeout,60198
symcc-assertions-38.smt2,timeout,60149
symcc-assertions-39.smt2,sat,20248
symcc-assertions-3.smt2,sat,3150
symcc-assertions-40.smt2,timeout,60141
symcc-assertions-41.smt2,sat,13162
symcc-assertions-42.smt2,sat,14982
symcc-assertions-43.smt2,sat,28529
symcc-assertions-44.smt2,unsat,3854
symcc-assertions-45.smt2,unsat,2961
symcc-assertions-46.smt2,sat,8612
symcc-assertions-47.smt2,sat,10404
symcc-assertions-48.smt2,sat,13454
symcc-assertions-49.smt2,sat,12309
symcc-assertions-4.smt2,sat,4487
symcc-assertions-5.smt2,sat,5058
symcc-assertions-6.smt2,sat,22240
symcc-assertions-7.smt2,sat,26280
symcc-assertions-8.smt2,sat,24280
symcc-assertions-9.smt2,sat,24052
