file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,5073
symcc-unsat-10.smt2,sat,5704
symcc-unsat-11.smt2,sat,6231
symcc-unsat-12.smt2,sat,5558
symcc-unsat-13.smt2,sat,5675
symcc-unsat-14.smt2,sat,6573
symcc-unsat-15.smt2,sat,5988
symcc-unsat-16.smt2,sat,6182
symcc-unsat-17.smt2,sat,7637
symcc-unsat-18.smt2,sat,7299
symcc-unsat-19.smt2,sat,8101
symcc-unsat-1.smt2,sat,3946
symcc-unsat-20.smt2,sat,6414
symcc-unsat-21.smt2,sat,7069
symcc-unsat-22.smt2,sat,9594
symcc-unsat-23.smt2,sat,8414
symcc-unsat-24.smt2,sat,8224
symcc-unsat-25.smt2,sat,5950
symcc-unsat-26.smt2,sat,7062
symcc-unsat-27.smt2,sat,7679
symcc-unsat-28.smt2,sat,5552
symcc-unsat-29.smt2,sat,6298
symcc-unsat-2.smt2,sat,3509
symcc-unsat-30.smt2,sat,9027
symcc-unsat-31.smt2,sat,7937
symcc-unsat-32.smt2,sat,7390
symcc-unsat-33.smt2,sat,9523
symcc-unsat-34.smt2,sat,9954
symcc-unsat-35.smt2,sat,9300
symcc-unsat-36.smt2,sat,54115
symcc-unsat-37.smt2,sat,9617
symcc-unsat-38.smt2,sat,9435
symcc-unsat-39.smt2,sat,12562
symcc-unsat-3.smt2,sat,4245
symcc-unsat-40.smt2,sat,9439
symcc-unsat-41.smt2,sat,8827
symcc-unsat-42.smt2,sat,26471
symcc-unsat-43.smt2,sat,17026
symcc-unsat-44.smt2,sat,14956
symcc-unsat-45.smt2,sat,11364
symcc-unsat-46.smt2,sat,9539
symcc-unsat-47.smt2,sat,7540
symcc-unsat-48.smt2,sat,7496
symcc-unsat-49.smt2,sat,12761
symcc-unsat-4.smt2,sat,4910
symcc-unsat-5.smt2,sat,3434
symcc-unsat-6.smt2,sat,3370
symcc-unsat-7.smt2,sat,4773
symcc-unsat-8.smt2,sat,4563
symcc-unsat-9.smt2,sat,5211
