file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,2114
symcc-assertions-10.smt2,sat,16723
symcc-assertions-11.smt2,sat,4902
symcc-assertions-12.smt2,sat,5445
symcc-assertions-13.smt2,sat,5811
symcc-assertions-14.smt2,sat,6044
symcc-assertions-15.smt2,sat,6334
symcc-assertions-16.smt2,sat,3661
symcc-assertions-17.smt2,sat,4921
symcc-assertions-18.smt2,sat,5082
symcc-assertions-19.smt2,sat,4643
symcc-assertions-1.smt2,unsat,2049
symcc-assertions-20.smt2,sat,4351
symcc-assertions-21.smt2,sat,5358
symcc-assertions-22.smt2,sat,6195
symcc-assertions-23.smt2,sat,4786
symcc-assertions-24.smt2,unsat,2125
symcc-assertions-25.smt2,unsat,2102
symcc-assertions-26.smt2,sat,5292
symcc-assertions-27.smt2,sat,5305
symcc-assertions-28.smt2,sat,6515
symcc-assertions-29.smt2,sat,6989
symcc-assertions-2.smt2,sat,2613
symcc-assertions-30.smt2,sat,5096
symcc-assertions-31.smt2,sat,6631
symcc-assertions-32.smt2,sat,13683
symcc-assertions-33.smt2,sat,14315
symcc-assertions-34.smt2,sat,14706
symcc-assertions-35.smt2,sat,12885
symcc-assertions-36.smt2,sat,6763
symcc-assertions-37.smt2,timeout,60092
symcc-assertions-38.smt2,timeout,60092
symcc-assertions-39.smt2,timeout,60060
symcc-assertions-3.smt2,sat,2018
symcc-assertions-40.smt2,timeout,60058
symcc-assertions-41.smt2,sat,4340
symcc-assertions-42.smt2,sat,7598
symcc-assertions-43.smt2,sat,20201
symcc-assertions-44.smt2,unsat,1781
symcc-assertions-45.smt2,unsat,1726
symcc-assertions-46.smt2,sat,6405
symcc-assertions-47.smt2,sat,6053
symcc-assertions-48.smt2,sat,7085
symcc-assertions-49.smt2,sat,6890
symcc-assertions-4.smt2,sat,1929
symcc-assertions-50.smt2,sat,6595
symcc-assertions-51.smt2,sat,19314
symcc-assertions-52.smt2,sat,18150
symcc-assertions-53.smt2,timeout,60084
symcc-assertions-54.smt2,timeout,60105
