file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,3259
symcc-unsat-10.smt2,sat,4186
symcc-unsat-11.smt2,sat,4104
symcc-unsat-12.smt2,sat,4852
symcc-unsat-13.smt2,sat,4502
symcc-unsat-14.smt2,sat,4417
symcc-unsat-15.smt2,sat,4392
symcc-unsat-16.smt2,sat,4384
symcc-unsat-17.smt2,sat,5511
symcc-unsat-18.smt2,sat,4735
symcc-unsat-19.smt2,sat,4319
symcc-unsat-1.smt2,sat,4027
symcc-unsat-20.smt2,sat,5065
symcc-unsat-21.smt2,sat,4309
symcc-unsat-22.smt2,sat,5405
symcc-unsat-23.smt2,sat,6563
symcc-unsat-24.smt2,sat,6584
symcc-unsat-25.smt2,sat,6496
symcc-unsat-26.smt2,sat,5309
symcc-unsat-27.smt2,sat,6226
symcc-unsat-28.smt2,sat,5669
symcc-unsat-29.smt2,sat,5620
symcc-unsat-2.smt2,sat,3122
symcc-unsat-30.smt2,sat,4882
symcc-unsat-31.smt2,sat,5987
symcc-unsat-32.smt2,sat,6964
symcc-unsat-33.smt2,sat,6729
symcc-unsat-34.smt2,sat,7707
symcc-unsat-35.smt2,sat,8226
symcc-unsat-36.smt2,sat,53328
symcc-unsat-37.smt2,sat,7528
symcc-unsat-38.smt2,sat,9031
symcc-unsat-39.smt2,sat,10153
symcc-unsat-3.smt2,sat,3518
symcc-unsat-40.smt2,sat,10730
symcc-unsat-41.smt2,sat,6855
symcc-unsat-42.smt2,sat,12951
symcc-unsat-43.smt2,sat,5435
symcc-unsat-44.smt2,sat,5553
symcc-unsat-45.smt2,sat,5428
symcc-unsat-46.smt2,sat,3193
symcc-unsat-47.smt2,sat,3445
symcc-unsat-48.smt2,sat,3817
symcc-unsat-49.smt2,sat,3322
symcc-unsat-4.smt2,sat,1569
symcc-unsat-50.smt2,sat,3761
symcc-unsat-51.smt2,sat,3517
symcc-unsat-52.smt2,sat,5777
symcc-unsat-53.smt2,sat,5525
symcc-unsat-54.smt2,sat,4456
