file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,33079
symcc-assertions-10.smt2,timeout,60120
symcc-assertions-11.smt2,sat,12973
symcc-assertions-12.smt2,timeout,60262
symcc-assertions-13.smt2,unsat,5931
symcc-assertions-14.smt2,timeout,60164
symcc-assertions-15.smt2,unsat,2513
symcc-assertions-16.smt2,timeout,60101
symcc-assertions-17.smt2,timeout,60080
symcc-assertions-18.smt2,unsat,2975
symcc-assertions-19.smt2,timeout,60134
symcc-assertions-1.smt2,sat,2166
symcc-assertions-20.smt2,timeout,60099
symcc-assertions-21.smt2,timeout,60198
symcc-assertions-22.smt2,unsat,2895
symcc-assertions-23.smt2,unsat,1620
symcc-assertions-24.smt2,timeout,60082
symcc-assertions-25.smt2,timeout,60297
symcc-assertions-26.smt2,unsat,3200
symcc-assertions-27.smt2,timeout,60132
symcc-assertions-28.smt2,timeout,60058
symcc-assertions-29.smt2,unknown,1021
symcc-assertions-2.smt2,unsat,1188
symcc-assertions-30.smt2,unknown,1198
symcc-assertions-31.smt2,unknown,1090
symcc-assertions-32.smt2,unknown,1663
symcc-assertions-33.smt2,unknown,1342
symcc-assertions-34.smt2,unknown,1114
symcc-assertions-35.smt2,unknown,1163
symcc-assertions-36.smt2,unknown,1416
symcc-assertions-37.smt2,unknown,2034
symcc-assertions-38.smt2,unknown,1196
symcc-assertions-39.smt2,unknown,1195
symcc-assertions-3.smt2,sat,36447
symcc-assertions-40.smt2,unknown,1090
symcc-assertions-41.smt2,unknown,1036
symcc-assertions-42.smt2,unknown,1420
symcc-assertions-43.smt2,unknown,1777
symcc-assertions-44.smt2,unknown,2731
symcc-assertions-45.smt2,unknown,1298
symcc-assertions-46.smt2,unknown,1238
symcc-assertions-47.smt2,unknown,1422
symcc-assertions-48.smt2,unknown,1183
symcc-assertions-49.smt2,unknown,1282
symcc-assertions-4.smt2,unsat,1344
symcc-assertions-5.smt2,sat,4571
symcc-assertions-6.smt2,sat,6533
symcc-assertions-7.smt2,timeout,60078
symcc-assertions-8.smt2,sat,12175
symcc-assertions-9.smt2,timeout,60094
