file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,2275
symcc-unsat-10.smt2,sat,4218
symcc-unsat-11.smt2,timeout,60149
symcc-unsat-12.smt2,sat,8725
symcc-unsat-13.smt2,timeout,60071
symcc-unsat-14.smt2,timeout,60068
symcc-unsat-15.smt2,timeout,60124
symcc-unsat-16.smt2,timeout,60082
symcc-unsat-17.smt2,timeout,60063
symcc-unsat-18.smt2,timeout,60065
symcc-unsat-19.smt2,timeout,60089
symcc-unsat-1.smt2,sat,2906
symcc-unsat-20.smt2,timeout,60138
symcc-unsat-21.smt2,timeout,60067
symcc-unsat-22.smt2,timeout,60082
symcc-unsat-23.smt2,timeout,60077
symcc-unsat-24.smt2,timeout,60061
symcc-unsat-25.smt2,timeout,60069
symcc-unsat-26.smt2,timeout,60110
symcc-unsat-27.smt2,timeout,60478
symcc-unsat-28.smt2,timeout,60211
symcc-unsat-29.smt2,unknown,5787
symcc-unsat-2.smt2,sat,17344
symcc-unsat-30.smt2,unknown,2136
symcc-unsat-31.smt2,unknown,1917
symcc-unsat-32.smt2,unknown,2523
symcc-unsat-33.smt2,unknown,2567
symcc-unsat-34.smt2,unknown,3458
symcc-unsat-35.smt2,unknown,2764
symcc-unsat-36.smt2,unknown,2437
symcc-unsat-37.smt2,unknown,7644
symcc-unsat-38.smt2,unknown,5214
symcc-unsat-39.smt2,unknown,6771
symcc-unsat-3.smt2,sat,12326
symcc-unsat-40.smt2,unknown,5793
symcc-unsat-41.smt2,unknown,8458
symcc-unsat-42.smt2,unknown,2099
symcc-unsat-43.smt2,unknown,2837
symcc-unsat-44.smt2,unknown,5606
symcc-unsat-45.smt2,unknown,5422
symcc-unsat-46.smt2,unknown,5391
symcc-unsat-47.smt2,unknown,4924
symcc-unsat-48.smt2,unknown,4854
symcc-unsat-49.smt2,unknown,5628
symcc-unsat-4.smt2,sat,21837
symcc-unsat-5.smt2,sat,37708
symcc-unsat-6.smt2,sat,56642
symcc-unsat-7.smt2,sat,18700
symcc-unsat-8.smt2,sat,27341
symcc-unsat-9.smt2,sat,52429
