file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,11610
symcc-assertions-10.smt2,sat,12981
symcc-assertions-11.smt2,timeout,60050
symcc-assertions-12.smt2,sat,24575
symcc-assertions-13.smt2,unsat,1813
symcc-assertions-14.smt2,timeout,60050
symcc-assertions-15.smt2,unsat,2123
symcc-assertions-16.smt2,timeout,60050
symcc-assertions-17.smt2,timeout,60061
symcc-assertions-18.smt2,unsat,4277
symcc-assertions-19.smt2,timeout,60236
symcc-assertions-1.smt2,sat,4243
symcc-assertions-20.smt2,timeout,60175
symcc-assertions-21.smt2,timeout,60109
symcc-assertions-22.smt2,unsat,4745
symcc-assertions-23.smt2,unsat,3308
symcc-assertions-24.smt2,timeout,60086
symcc-assertions-25.smt2,timeout,60063
symcc-assertions-26.smt2,unsat,3485
symcc-assertions-27.smt2,timeout,60096
symcc-assertions-28.smt2,timeout,60093
symcc-assertions-29.smt2,unknown,1924
symcc-assertions-2.smt2,unsat,2165
symcc-assertions-30.smt2,unknown,1942
symcc-assertions-31.smt2,unknown,3501
symcc-assertions-32.smt2,unknown,1854
symcc-assertions-33.smt2,unknown,1641
symcc-assertions-34.smt2,unknown,1848
symcc-assertions-35.smt2,unknown,1683
symcc-assertions-36.smt2,unknown,1968
symcc-assertions-37.smt2,unknown,1908
symcc-assertions-38.smt2,unknown,1906
symcc-assertions-39.smt2,unknown,2367
symcc-assertions-3.smt2,sat,10423
symcc-assertions-40.smt2,unknown,2022
symcc-assertions-41.smt2,unknown,2090
symcc-assertions-42.smt2,unknown,1733
symcc-assertions-43.smt2,unknown,2360
symcc-assertions-44.smt2,unknown,2170
symcc-assertions-45.smt2,unknown,2490
symcc-assertions-46.smt2,unknown,2027
symcc-assertions-47.smt2,unknown,2010
symcc-assertions-48.smt2,unknown,2088
symcc-assertions-49.smt2,unknown,1811
symcc-assertions-4.smt2,unsat,2240
symcc-assertions-50.smt2,unknown,1813
symcc-assertions-51.smt2,unknown,2047
symcc-assertions-52.smt2,unknown,2200
symcc-assertions-53.smt2,unknown,3676
symcc-assertions-54.smt2,unknown,2426
