file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,2545
symcc-unsat-10.smt2,sat,15268
symcc-unsat-11.smt2,timeout,60074
symcc-unsat-12.smt2,timeout,60093
symcc-unsat-13.smt2,timeout,60059
symcc-unsat-14.smt2,timeout,60051
symcc-unsat-15.smt2,timeout,60075
symcc-unsat-16.smt2,timeout,60078
symcc-unsat-17.smt2,timeout,60077
symcc-unsat-18.smt2,timeout,60074
symcc-unsat-19.smt2,timeout,60062
symcc-unsat-1.smt2,sat,4137
symcc-unsat-20.smt2,timeout,60095
symcc-unsat-21.smt2,timeout,60919
symcc-unsat-22.smt2,timeout,60088
symcc-unsat-23.smt2,timeout,60112
symcc-unsat-24.smt2,timeout,60064
symcc-unsat-25.smt2,timeout,60147
symcc-unsat-26.smt2,timeout,60090
symcc-unsat-27.smt2,timeout,60141
symcc-unsat-28.smt2,timeout,60140
symcc-unsat-29.smt2,unknown,1859
symcc-unsat-2.smt2,sat,12510
symcc-unsat-30.smt2,unknown,1978
symcc-unsat-31.smt2,unknown,1858
symcc-unsat-32.smt2,unknown,2051
symcc-unsat-33.smt2,unknown,1868
symcc-unsat-34.smt2,unknown,1956
symcc-unsat-35.smt2,unknown,2230
symcc-unsat-36.smt2,unknown,2080
symcc-unsat-37.smt2,unknown,2110
symcc-unsat-38.smt2,unknown,1796
symcc-unsat-39.smt2,unknown,2073
symcc-unsat-3.smt2,timeout,60108
symcc-unsat-40.smt2,unknown,3802
symcc-unsat-41.smt2,unknown,3559
symcc-unsat-42.smt2,unknown,3241
symcc-unsat-43.smt2,unknown,3809
symcc-unsat-44.smt2,unknown,3822
symcc-unsat-45.smt2,unknown,2422
symcc-unsat-46.smt2,unknown,2844
symcc-unsat-47.smt2,unknown,2570
symcc-unsat-48.smt2,unknown,2004
symcc-unsat-49.smt2,unknown,2084
symcc-unsat-4.smt2,sat,22508
symcc-unsat-50.smt2,unknown,1968
symcc-unsat-51.smt2,unknown,2508
symcc-unsat-52.smt2,unknown,2384
symcc-unsat-53.smt2,unknown,3524
symcc-unsat-54.smt2,unknown,2378
