solver,lib,constraints,expected,total,solved,timeouts,errors,mean_ms,median_ms
cvc5,b64,mixed,sat,50,4,46,0,102825.0,103155.0
cvc5,b64,mixed,unsat,50,3,47,0,66852.3,88680.0
cvc5,b64,string_only,sat,50,5,45,0,39243.8,31278.0
cvc5,b64,string_only,unsat,50,1,49,0,13157.0,13157.0
cvc5,cJSON,mixed,sat,43,43,0,0,147.6,78.0
cvc5,cJSON,mixed,unsat,43,43,0,0,163.7,174.0
cvc5,cJSON,string_only,sat,43,43,0,0,144.8,77.0
cvc5,cJSON,string_only,unsat,44,44,0,0,156.6,170.0
cvc5,inih,mixed,sat,50,50,0,0,311.6,111.5
cvc5,inih,mixed,unsat,50,50,0,0,319.6,190.0
cvc5,inih,string_only,sat,50,50,0,0,404.0,310.0
cvc5,inih,string_only,unsat,50,50,0,0,415.2,320.0
cvc5,minicsv,mixed,sat,50,50,0,0,100.4,85.5
cvc5,minicsv,mixed,unsat,50,50,0,0,100.4,94.0
cvc5,minicsv,string_only,sat,50,50,0,0,108.1,108.0
cvc5,minicsv,string_only,unsat,50,50,0,0,110.1,108.5
cvc5,yuarel,mixed,sat,50,27,23,0,934.8,204.0
cvc5,yuarel,mixed,unsat,50,14,36,0,12686.7,419.5
cvc5,yuarel,string_only,sat,50,24,26,0,544.9,202.5
cvc5,yuarel,string_only,unsat,50,9,41,0,26439.9,298.0
ostrich,b64,mixed,sat,50,0,0,50,nan,nan
ostrich,b64,mixed,unsat,50,0,0,50,nan,nan
ostrich,b64,string_only,sat,50,0,0,50,nan,nan
ostrich,b64,string_only,unsat,50,0,0,50,nan,nan
ostrich,cJSON,mixed,sat,43,41,2,0,13344.0,7896.0
ostrich,cJSON,mixed,unsat,43,43,0,0,20257.3,18522.0
ostrich,cJSON,string_only,sat,43,41,2,0,6668.2,4068.0
ostrich,cJSON,string_only,unsat,44,44,0,0,7183.6,5649.0
ostrich,inih,mixed,sat,50,10,12,28,11401.1,7874.0
ostrich,inih,mixed,unsat,50,16,6,28,9697.1,9781.0
ostrich,inih,string_only,sat,50,5,12,33,3794.2,2537.0
ostrich,inih,string_only,unsat,50,12,5,33,5612.3,4720.0
ostrich,minicsv,mixed,sat,50,47,3,0,10870.6,9212.0
ostrich,minicsv,mixed,unsat,50,50,0,0,8890.3,7443.0
ostrich,minicsv,string_only,sat,50,44,6,0,6898.3,5628.0
ostrich,minicsv,string_only,unsat,50,50,0,0,6448.9,5357.0
ostrich,yuarel,mixed,sat,50,15,14,21,8640.7,3200.0
ostrich,yuarel,mixed,unsat,50,12,17,21,21870.9,18022.0
ostrich,yuarel,string_only,sat,50,13,11,26,6768.3,4243.0
ostrich,yuarel,string_only,unsat,50,5,19,26,11393.6,12510.0
z3,b64,mixed,sat,50,50,0,0,3971.0,3927.5
z3,b64,mixed,unsat,50,50,0,0,4029.2,3922.0
z3,b64,string_only,sat,50,50,0,0,5675.6,6157.0
z3,b64,string_only,unsat,50,50,0,0,5880.3,6150.0
z3,cJSON,mixed,sat,43,43,0,0,395.8,17.0
z3,cJSON,mixed,unsat,43,43,0,0,3505.3,1452.0
z3,cJSON,string_only,sat,43,43,0,0,284.5,12.0
z3,cJSON,string_only,unsat,44,44,0,0,2539.6,1066.0
z3,inih,mixed,sat,50,47,3,0,309.3,171.0
z3,inih,mixed,unsat,50,49,1,0,344.3,93.0
z3,inih,string_only,sat,50,46,4,0,464.8,168.0
z3,inih,string_only,unsat,50,47,3,0,443.9,197.0
z3,minicsv,mixed,sat,50,50,0,0,44.8,35.5
z3,minicsv,mixed,unsat,50,50,0,0,98.3,74.0
z3,minicsv,string_only,sat,50,50,0,0,55.7,45.5
z3,minicsv,string_only,unsat,50,50,0,0,111.0,91.5
z3,yuarel,mixed,sat,50,24,26,0,1995.5,21.0
z3,yuarel,mixed,unsat,50,9,40,1,5429.4,136.0
z3,yuarel,string_only,sat,50,22,28,0,8414.7,20.5
z3,yuarel,string_only,unsat,50,6,44,0,7972.3,60.0
z3-noodler,b64,mixed,sat,50,0,49,1,nan,nan
z3-noodler,b64,mixed,unsat,50,0,48,2,nan,nan
z3-noodler,b64,string_only,sat,50,0,50,0,nan,nan
z3-noodler,b64,string_only,unsat,50,0,50,0,nan,nan
z3-noodler,cJSON,mixed,sat,43,31,12,0,4499.7,159.0
z3-noodler,cJSON,mixed,unsat,43,15,28,0,83561.5,1033.0
z3-noodler,cJSON,string_only,sat,43,31,12,0,4257.8,195.0
z3-noodler,cJSON,string_only,unsat,44,14,30,0,63020.6,621.0
z3-noodler,inih,mixed,sat,50,35,15,0,3502.1,147.0
z3-noodler,inih,mixed,unsat,50,34,16,0,3645.7,181.5
z3-noodler,inih,string_only,sat,50,30,20,0,4451.7,193.5
z3-noodler,inih,string_only,unsat,50,29,21,0,3721.3,132.0
z3-noodler,minicsv,mixed,sat,50,47,3,0,613.5,190.0
z3-noodler,minicsv,mixed,unsat,50,50,0,0,7344.5,369.5
z3-noodler,minicsv,string_only,sat,50,46,4,0,2141.7,406.0
z3-noodler,minicsv,string_only,unsat,50,49,1,0,8378.2,658.0
z3-noodler,yuarel,mixed,sat,50,18,26,6,163.8,160.5
z3-noodler,yuarel,mixed,unsat,50,3,37,10,246.0,214.0
z3-noodler,yuarel,string_only,sat,50,20,24,6,144.7,158.5
z3-noodler,yuarel,string_only,unsat,50,3,36,11,155.3,123.0
