file_name,result,runtime_ms
symcc-unsat-0.smt2,TIMEOUT,300180
symcc-unsat-1.smt2,TIMEOUT,300185
symcc-unsat-10.smt2,TIMEOUT,300197
symcc-unsat-11.smt2,TIMEOUT,300163
symcc-unsat-12.smt2,TIMEOUT,300179
symcc-unsat-13.smt2,TIMEOUT,300184
symcc-unsat-14.smt2,TIMEOUT,300204
symcc-unsat-15.smt2,TIMEOUT,300195
symcc-unsat-16.smt2,TIMEOUT,300158
symcc-unsat-17.smt2,TIMEOUT,300177
symcc-unsat-18.smt2,TIMEOUT,300183
symcc-unsat-19.smt2,TIMEOUT,300176
symcc-unsat-2.smt2,TIMEOUT,300163
symcc-unsat-20.smt2,TIMEOUT,300188
symcc-unsat-21.smt2,TIMEOUT,300208
symcc-unsat-22.smt2,TIMEOUT,300185
symcc-unsat-23.smt2,TIMEOUT,300172
symcc-unsat-24.smt2,TIMEOUT,300180
symcc-unsat-25.smt2,TIMEOUT,300183
symcc-unsat-26.smt2,TIMEOUT,300186
symcc-unsat-27.smt2,TIMEOUT,300189
symcc-unsat-28.smt2,TIMEOUT,300178
symcc-unsat-29.smt2,TIMEOUT,300188
symcc-unsat-3.smt2,ERROR(1),128782
symcc-unsat-30.smt2,TIMEOUT,300229
symcc-unsat-31.smt2,TIMEOUT,300204
symcc-unsat-32.smt2,TIMEOUT,300204
symcc-unsat-33.smt2,TIMEOUT,300206
symcc-unsat-34.smt2,TIMEOUT,300186
symcc-unsat-35.smt2,TIMEOUT,300181
symcc-unsat-36.smt2,TIMEOUT,300205
symcc-unsat-37.smt2,TIMEOUT,300188
symcc-unsat-38.smt2,TIMEOUT,300229
symcc-unsat-39.smt2,TIMEOUT,300231
symcc-unsat-4.smt2,ERROR(1),133147
symcc-unsat-40.smt2,TIMEOUT,300178
symcc-unsat-41.smt2,TIMEOUT,300192
symcc-unsat-42.smt2,TIMEOUT,300195
symcc-unsat-43.smt2,TIMEOUT,300178
symcc-unsat-44.smt2,TIMEOUT,300199
symcc-unsat-45.smt2,TIMEOUT,300208
symcc-unsat-46.smt2,TIMEOUT,300241
symcc-unsat-47.smt2,TIMEOUT,300197
symcc-unsat-48.smt2,TIMEOUT,300205
symcc-unsat-49.smt2,TIMEOUT,300193
symcc-unsat-5.smt2,TIMEOUT,300205
symcc-unsat-6.smt2,TIMEOUT,300199
symcc-unsat-7.smt2,TIMEOUT,300214
symcc-unsat-8.smt2,TIMEOUT,300215
symcc-unsat-9.smt2,TIMEOUT,300267
