file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,87
symcc-assertions-1.smt2,sat,89
symcc-assertions-10.smt2,unsat,80
symcc-assertions-11.smt2,unsat,74
symcc-assertions-12.smt2,TIMEOUT,300339
symcc-assertions-13.smt2,unsat,317
symcc-assertions-14.smt2,unsat,320
symcc-assertions-15.smt2,unsat,42702
symcc-assertions-16.smt2,unsat,170
symcc-assertions-17.smt2,sat,30271
symcc-assertions-18.smt2,TIMEOUT,300194
symcc-assertions-19.smt2,unsat,160
symcc-assertions-2.smt2,sat,192
symcc-assertions-20.smt2,unsat,163
symcc-assertions-21.smt2,TIMEOUT,300195
symcc-assertions-22.smt2,unsat,141
symcc-assertions-23.smt2,sat,60617
symcc-assertions-24.smt2,TIMEOUT,300181
symcc-assertions-25.smt2,unsat,175
symcc-assertions-26.smt2,unsat,153
symcc-assertions-27.smt2,unsat,147
symcc-assertions-28.smt2,unsat,141
symcc-assertions-29.smt2,unsat,157
symcc-assertions-3.smt2,unsat,149
symcc-assertions-30.smt2,TIMEOUT,300204
symcc-assertions-31.smt2,unsat,190
symcc-assertions-32.smt2,unsat,142
symcc-assertions-33.smt2,TIMEOUT,300187
symcc-assertions-34.smt2,unsat,159
symcc-assertions-35.smt2,TIMEOUT,300208
symcc-assertions-36.smt2,TIMEOUT,300185
symcc-assertions-37.smt2,TIMEOUT,300174
symcc-assertions-38.smt2,unsat,138
symcc-assertions-39.smt2,TIMEOUT,300195
symcc-assertions-4.smt2,sat,479
symcc-assertions-40.smt2,unsat,160
symcc-assertions-41.smt2,TIMEOUT,300180
symcc-assertions-42.smt2,unsat,139
symcc-assertions-5.smt2,unsat,513
symcc-assertions-6.smt2,unsat,148
symcc-assertions-7.smt2,sat,968
symcc-assertions-8.smt2,TIMEOUT,300150
symcc-assertions-9.smt2,unsat,149
