file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,148
symcc-unsat-1.smt2,sat,178
symcc-unsat-10.smt2,TIMEOUT,300148
symcc-unsat-11.smt2,TIMEOUT,300181
symcc-unsat-12.smt2,sat,299789
symcc-unsat-13.smt2,sat,297820
symcc-unsat-14.smt2,sat,131346
symcc-unsat-15.smt2,sat,166609
symcc-unsat-16.smt2,sat,164516
symcc-unsat-17.smt2,sat,52706
symcc-unsat-18.smt2,TIMEOUT,300202
symcc-unsat-19.smt2,TIMEOUT,300180
symcc-unsat-2.smt2,sat,161
symcc-unsat-20.smt2,TIMEOUT,300198
symcc-unsat-21.smt2,TIMEOUT,300194
symcc-unsat-22.smt2,TIMEOUT,300181
symcc-unsat-23.smt2,TIMEOUT,300193
symcc-unsat-24.smt2,TIMEOUT,300203
symcc-unsat-25.smt2,TIMEOUT,300200
symcc-unsat-26.smt2,TIMEOUT,300229
symcc-unsat-27.smt2,TIMEOUT,300211
symcc-unsat-28.smt2,TIMEOUT,300217
symcc-unsat-29.smt2,TIMEOUT,300185
symcc-unsat-3.smt2,sat,508
symcc-unsat-30.smt2,TIMEOUT,300239
symcc-unsat-31.smt2,TIMEOUT,300253
symcc-unsat-32.smt2,TIMEOUT,300263
symcc-unsat-33.smt2,TIMEOUT,300248
symcc-unsat-34.smt2,TIMEOUT,300273
symcc-unsat-35.smt2,TIMEOUT,300266
symcc-unsat-36.smt2,TIMEOUT,300260
symcc-unsat-37.smt2,TIMEOUT,300269
symcc-unsat-38.smt2,TIMEOUT,300249
symcc-unsat-39.smt2,TIMEOUT,300285
symcc-unsat-4.smt2,sat,453
symcc-unsat-40.smt2,TIMEOUT,300329
symcc-unsat-41.smt2,TIMEOUT,300278
symcc-unsat-42.smt2,TIMEOUT,300241
symcc-unsat-5.smt2,sat,756
symcc-unsat-6.smt2,sat,801
symcc-unsat-7.smt2,sat,1033
symcc-unsat-8.smt2,sat,136599
symcc-unsat-9.smt2,TIMEOUT,300205
