file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,182
symcc-assertions-1.smt2,sat,166
symcc-assertions-10.smt2,unsat,154
symcc-assertions-11.smt2,unsat,189
symcc-assertions-12.smt2,TIMEOUT,300187
symcc-assertions-13.smt2,unsat,201
symcc-assertions-14.smt2,unsat,173
symcc-assertions-15.smt2,unsat,37717
symcc-assertions-16.smt2,unsat,233
symcc-assertions-17.smt2,sat,32018
symcc-assertions-18.smt2,TIMEOUT,300229
symcc-assertions-19.smt2,unsat,179
symcc-assertions-2.smt2,sat,293
symcc-assertions-20.smt2,unsat,218
symcc-assertions-21.smt2,TIMEOUT,300176
symcc-assertions-22.smt2,unsat,131
symcc-assertions-23.smt2,sat,56603
symcc-assertions-24.smt2,TIMEOUT,300312
symcc-assertions-25.smt2,unsat,215
symcc-assertions-26.smt2,unsat,225
symcc-assertions-27.smt2,unsat,212
symcc-assertions-28.smt2,unsat,223
symcc-assertions-29.smt2,unsat,214
symcc-assertions-3.smt2,unsat,195
symcc-assertions-30.smt2,TIMEOUT,300203
symcc-assertions-31.smt2,unsat,116
symcc-assertions-32.smt2,unsat,103
symcc-assertions-33.smt2,TIMEOUT,300188
symcc-assertions-34.smt2,unsat,97
symcc-assertions-35.smt2,TIMEOUT,300196
symcc-assertions-36.smt2,TIMEOUT,300190
symcc-assertions-37.smt2,TIMEOUT,300189
symcc-assertions-38.smt2,unsat,107
symcc-assertions-39.smt2,TIMEOUT,300178
symcc-assertions-4.smt2,sat,362
symcc-assertions-40.smt2,unsat,97
symcc-assertions-41.smt2,TIMEOUT,300149
symcc-assertions-42.smt2,unsat,88
symcc-assertions-5.smt2,unsat,368
symcc-assertions-6.smt2,unsat,93
symcc-assertions-7.smt2,sat,706
symcc-assertions-8.smt2,TIMEOUT,300141
symcc-assertions-9.smt2,unsat,115
