file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,203
symcc-unsat-1.smt2,sat,210
symcc-unsat-10.smt2,TIMEOUT,300179
symcc-unsat-11.smt2,TIMEOUT,300219
symcc-unsat-12.smt2,TIMEOUT,300176
symcc-unsat-13.smt2,sat,273560
symcc-unsat-14.smt2,sat,182791
symcc-unsat-15.smt2,sat,140573
symcc-unsat-16.smt2,sat,145048
symcc-unsat-17.smt2,sat,46609
symcc-unsat-18.smt2,TIMEOUT,300142
symcc-unsat-19.smt2,TIMEOUT,300144
symcc-unsat-2.smt2,sat,112
symcc-unsat-20.smt2,TIMEOUT,300127
symcc-unsat-21.smt2,TIMEOUT,300144
symcc-unsat-22.smt2,TIMEOUT,300150
symcc-unsat-23.smt2,TIMEOUT,300136
symcc-unsat-24.smt2,TIMEOUT,300231
symcc-unsat-25.smt2,TIMEOUT,300134
symcc-unsat-26.smt2,TIMEOUT,300134
symcc-unsat-27.smt2,TIMEOUT,300135
symcc-unsat-28.smt2,TIMEOUT,300139
symcc-unsat-29.smt2,TIMEOUT,300121
symcc-unsat-3.smt2,sat,361
symcc-unsat-30.smt2,TIMEOUT,300169
symcc-unsat-31.smt2,TIMEOUT,300140
symcc-unsat-32.smt2,TIMEOUT,300137
symcc-unsat-33.smt2,TIMEOUT,300129
symcc-unsat-34.smt2,TIMEOUT,300137
symcc-unsat-35.smt2,TIMEOUT,300126
symcc-unsat-36.smt2,TIMEOUT,300114
symcc-unsat-37.smt2,TIMEOUT,300138
symcc-unsat-38.smt2,TIMEOUT,300203
symcc-unsat-39.smt2,TIMEOUT,300141
symcc-unsat-4.smt2,sat,275
symcc-unsat-40.smt2,TIMEOUT,3891965
symcc-unsat-41.smt2,TIMEOUT,4154677
symcc-unsat-42.smt2,TIMEOUT,313407
symcc-unsat-5.smt2,sat,530
symcc-unsat-6.smt2,sat,531
symcc-unsat-7.smt2,sat,711
symcc-unsat-8.smt2,sat,90775
symcc-unsat-9.smt2,TIMEOUT,300106
symcc-unsat-reset-21.smt2,TIMEOUT,300104
