file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,85
symcc-assertions-1.smt2,sat,101
symcc-assertions-10.smt2,sat,118
symcc-assertions-11.smt2,sat,105
symcc-assertions-12.smt2,sat,113
symcc-assertions-13.smt2,sat,111
symcc-assertions-14.smt2,sat,111
symcc-assertions-15.smt2,sat,116
symcc-assertions-16.smt2,sat,120
symcc-assertions-17.smt2,sat,114
symcc-assertions-18.smt2,sat,113
symcc-assertions-19.smt2,sat,115
symcc-assertions-2.smt2,sat,101
symcc-assertions-20.smt2,sat,128
symcc-assertions-21.smt2,sat,117
symcc-assertions-22.smt2,sat,107
symcc-assertions-23.smt2,unsat,103
symcc-assertions-24.smt2,sat,170
symcc-assertions-25.smt2,sat,187
symcc-assertions-26.smt2,sat,198
symcc-assertions-27.smt2,sat,19315
symcc-assertions-28.smt2,sat,18565
symcc-assertions-29.smt2,sat,22765
symcc-assertions-3.smt2,sat,147
symcc-assertions-30.smt2,sat,24317
symcc-assertions-31.smt2,sat,27151
symcc-assertions-32.smt2,sat,6438
symcc-assertions-33.smt2,unsat,185
symcc-assertions-34.smt2,unsat,149
symcc-assertions-35.smt2,TIMEOUT,300330
symcc-assertions-36.smt2,TIMEOUT,300206
symcc-assertions-37.smt2,TIMEOUT,300188
symcc-assertions-38.smt2,TIMEOUT,300141
symcc-assertions-39.smt2,TIMEOUT,300186
symcc-assertions-4.smt2,sat,181
symcc-assertions-40.smt2,TIMEOUT,300221
symcc-assertions-41.smt2,TIMEOUT,300216
symcc-assertions-42.smt2,TIMEOUT,300174
symcc-assertions-43.smt2,TIMEOUT,300196
symcc-assertions-44.smt2,TIMEOUT,300212
symcc-assertions-45.smt2,TIMEOUT,300186
symcc-assertions-46.smt2,TIMEOUT,300187
symcc-assertions-47.smt2,TIMEOUT,300202
symcc-assertions-48.smt2,TIMEOUT,300222
symcc-assertions-49.smt2,TIMEOUT,300189
symcc-assertions-5.smt2,sat,160
symcc-assertions-6.smt2,sat,160
symcc-assertions-7.smt2,sat,230
symcc-assertions-8.smt2,sat,213
symcc-assertions-9.smt2,sat,163
