file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,133
symcc-unsat-1.smt2,sat,138
symcc-unsat-10.smt2,sat,170
symcc-unsat-11.smt2,sat,173
symcc-unsat-12.smt2,sat,158
symcc-unsat-13.smt2,sat,160
symcc-unsat-14.smt2,sat,161
symcc-unsat-15.smt2,sat,185
symcc-unsat-16.smt2,sat,173
symcc-unsat-17.smt2,sat,170
symcc-unsat-18.smt2,sat,168
symcc-unsat-19.smt2,sat,184
symcc-unsat-2.smt2,sat,165
symcc-unsat-20.smt2,sat,174
symcc-unsat-21.smt2,sat,162
symcc-unsat-22.smt2,sat,182
symcc-unsat-23.smt2,sat,193
symcc-unsat-24.smt2,sat,278
symcc-unsat-25.smt2,sat,332
symcc-unsat-26.smt2,sat,783
symcc-unsat-27.smt2,sat,23868
symcc-unsat-28.smt2,sat,23197
symcc-unsat-29.smt2,sat,23705
symcc-unsat-3.smt2,sat,157
symcc-unsat-30.smt2,sat,22928
symcc-unsat-31.smt2,sat,23310
symcc-unsat-32.smt2,sat,681
symcc-unsat-33.smt2,sat,751
symcc-unsat-34.smt2,TIMEOUT,300226
symcc-unsat-35.smt2,TIMEOUT,300187
symcc-unsat-36.smt2,TIMEOUT,300197
symcc-unsat-37.smt2,TIMEOUT,300198
symcc-unsat-38.smt2,TIMEOUT,300208
symcc-unsat-39.smt2,TIMEOUT,300225
symcc-unsat-4.smt2,sat,179
symcc-unsat-40.smt2,TIMEOUT,300179
symcc-unsat-41.smt2,TIMEOUT,300200
symcc-unsat-42.smt2,TIMEOUT,300186
symcc-unsat-43.smt2,TIMEOUT,300200
symcc-unsat-44.smt2,TIMEOUT,300222
symcc-unsat-45.smt2,TIMEOUT,300181
symcc-unsat-46.smt2,TIMEOUT,300201
symcc-unsat-47.smt2,TIMEOUT,300192
symcc-unsat-48.smt2,TIMEOUT,300193
symcc-unsat-49.smt2,TIMEOUT,300199
symcc-unsat-5.smt2,sat,182
symcc-unsat-6.smt2,sat,181
symcc-unsat-7.smt2,sat,179
symcc-unsat-8.smt2,sat,190
symcc-unsat-9.smt2,sat,203
