file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,171
symcc-assertions-1.smt2,sat,176
symcc-assertions-10.smt2,sat,209
symcc-assertions-11.smt2,sat,179
symcc-assertions-12.smt2,sat,211
symcc-assertions-13.smt2,sat,195
symcc-assertions-14.smt2,sat,193
symcc-assertions-15.smt2,sat,194
symcc-assertions-16.smt2,sat,182
symcc-assertions-17.smt2,sat,193
symcc-assertions-18.smt2,sat,187
symcc-assertions-19.smt2,sat,192
symcc-assertions-2.smt2,sat,173
symcc-assertions-20.smt2,sat,199
symcc-assertions-21.smt2,sat,189
symcc-assertions-22.smt2,sat,191
symcc-assertions-23.smt2,unsat,149
symcc-assertions-24.smt2,sat,284
symcc-assertions-25.smt2,sat,302
symcc-assertions-26.smt2,sat,278
symcc-assertions-27.smt2,sat,24407
symcc-assertions-28.smt2,sat,23963
symcc-assertions-29.smt2,sat,24330
symcc-assertions-3.smt2,sat,187
symcc-assertions-30.smt2,sat,23778
symcc-assertions-31.smt2,sat,25297
symcc-assertions-32.smt2,sat,6988
symcc-assertions-33.smt2,unsat,200
symcc-assertions-34.smt2,unsat,163
symcc-assertions-35.smt2,TIMEOUT,300157
symcc-assertions-36.smt2,TIMEOUT,300181
symcc-assertions-37.smt2,TIMEOUT,300178
symcc-assertions-38.smt2,TIMEOUT,300153
symcc-assertions-39.smt2,TIMEOUT,300146
symcc-assertions-4.smt2,sat,192
symcc-assertions-40.smt2,TIMEOUT,300177
symcc-assertions-41.smt2,TIMEOUT,300176
symcc-assertions-42.smt2,TIMEOUT,300168
symcc-assertions-43.smt2,TIMEOUT,300146
symcc-assertions-44.smt2,TIMEOUT,300159
symcc-assertions-45.smt2,TIMEOUT,300158
symcc-assertions-46.smt2,TIMEOUT,300157
symcc-assertions-47.smt2,TIMEOUT,300158
symcc-assertions-48.smt2,TIMEOUT,300166
symcc-assertions-49.smt2,TIMEOUT,300168
symcc-assertions-50.smt2,TIMEOUT,300212
symcc-assertions-51.smt2,TIMEOUT,300160
symcc-assertions-52.smt2,TIMEOUT,300097
symcc-assertions-53.smt2,TIMEOUT,300130
symcc-assertions-54.smt2,TIMEOUT,300125
