file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,125
symcc-assertions-1.smt2,unsat,93
symcc-assertions-10.smt2,sat,165
symcc-assertions-11.smt2,sat,124
symcc-assertions-12.smt2,sat,131
symcc-assertions-13.smt2,sat,130
symcc-assertions-14.smt2,sat,127
symcc-assertions-15.smt2,sat,129
symcc-assertions-16.smt2,sat,130
symcc-assertions-17.smt2,sat,138
symcc-assertions-18.smt2,sat,134
symcc-assertions-19.smt2,sat,131
symcc-assertions-2.smt2,sat,118
symcc-assertions-20.smt2,sat,125
symcc-assertions-21.smt2,sat,138
symcc-assertions-22.smt2,sat,135
symcc-assertions-23.smt2,sat,139
symcc-assertions-24.smt2,unsat,92
symcc-assertions-25.smt2,unsat,101
symcc-assertions-26.smt2,sat,473
symcc-assertions-27.smt2,sat,997
symcc-assertions-28.smt2,sat,1030
symcc-assertions-29.smt2,sat,1000
symcc-assertions-3.smt2,sat,123
symcc-assertions-30.smt2,sat,1004
symcc-assertions-31.smt2,sat,504
symcc-assertions-32.smt2,sat,507
symcc-assertions-33.smt2,sat,505
symcc-assertions-34.smt2,sat,535
symcc-assertions-35.smt2,sat,496
symcc-assertions-36.smt2,sat,539
symcc-assertions-37.smt2,sat,540
symcc-assertions-38.smt2,sat,564
symcc-assertions-39.smt2,sat,570
symcc-assertions-4.smt2,sat,123
symcc-assertions-40.smt2,sat,555
symcc-assertions-41.smt2,sat,593
symcc-assertions-42.smt2,sat,655
symcc-assertions-43.smt2,sat,614
symcc-assertions-44.smt2,unsat,89
symcc-assertions-45.smt2,unsat,94
symcc-assertions-46.smt2,sat,13210
symcc-assertions-47.smt2,TIMEOUT,300206
symcc-assertions-48.smt2,TIMEOUT,300229
symcc-assertions-49.smt2,TIMEOUT,300230
symcc-assertions-5.smt2,sat,199
symcc-assertions-6.smt2,sat,190
symcc-assertions-7.smt2,sat,237
symcc-assertions-8.smt2,sat,251
symcc-assertions-9.smt2,sat,234
