file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,279
symcc-unsat-1.smt2,sat,264
symcc-unsat-10.smt2,sat,233
symcc-unsat-11.smt2,sat,314
symcc-unsat-12.smt2,sat,203
symcc-unsat-13.smt2,sat,193
symcc-unsat-14.smt2,sat,201
symcc-unsat-15.smt2,sat,212
symcc-unsat-16.smt2,sat,273
symcc-unsat-17.smt2,sat,178
symcc-unsat-18.smt2,sat,187
symcc-unsat-19.smt2,sat,207
symcc-unsat-2.smt2,sat,161
symcc-unsat-20.smt2,sat,204
symcc-unsat-21.smt2,sat,425
symcc-unsat-22.smt2,sat,205
symcc-unsat-23.smt2,sat,220
symcc-unsat-24.smt2,sat,195
symcc-unsat-25.smt2,sat,195
symcc-unsat-26.smt2,sat,1605
symcc-unsat-27.smt2,sat,563
symcc-unsat-28.smt2,sat,579
symcc-unsat-29.smt2,sat,647
symcc-unsat-3.smt2,sat,181
symcc-unsat-30.smt2,sat,681
symcc-unsat-31.smt2,sat,1344
symcc-unsat-32.smt2,sat,626
symcc-unsat-33.smt2,sat,608
symcc-unsat-34.smt2,sat,642
symcc-unsat-35.smt2,sat,678
symcc-unsat-36.smt2,sat,1982
symcc-unsat-37.smt2,sat,704
symcc-unsat-38.smt2,sat,684
symcc-unsat-39.smt2,sat,643
symcc-unsat-4.smt2,sat,172
symcc-unsat-40.smt2,sat,670
symcc-unsat-41.smt2,sat,1705
symcc-unsat-42.smt2,sat,715
symcc-unsat-43.smt2,sat,742
symcc-unsat-44.smt2,sat,756
symcc-unsat-45.smt2,sat,655
symcc-unsat-46.smt2,sat,295642
symcc-unsat-47.smt2,sat,16314
symcc-unsat-48.smt2,sat,16368
symcc-unsat-49.smt2,sat,15948
symcc-unsat-5.smt2,sat,173
symcc-unsat-6.smt2,sat,269
symcc-unsat-7.smt2,sat,200
symcc-unsat-8.smt2,sat,195
symcc-unsat-9.smt2,sat,186
