file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,185
symcc-assertions-1.smt2,unsat,127
symcc-assertions-10.smt2,sat,230
symcc-assertions-11.smt2,sat,173
symcc-assertions-12.smt2,sat,180
symcc-assertions-13.smt2,sat,186
symcc-assertions-14.smt2,sat,183
symcc-assertions-15.smt2,sat,185
symcc-assertions-16.smt2,sat,205
symcc-assertions-17.smt2,sat,210
symcc-assertions-18.smt2,sat,209
symcc-assertions-19.smt2,sat,202
symcc-assertions-2.smt2,sat,187
symcc-assertions-20.smt2,sat,179
symcc-assertions-21.smt2,sat,210
symcc-assertions-22.smt2,sat,201
symcc-assertions-23.smt2,sat,220
symcc-assertions-24.smt2,unsat,143
symcc-assertions-25.smt2,unsat,145
symcc-assertions-26.smt2,sat,613
symcc-assertions-27.smt2,sat,1183
symcc-assertions-28.smt2,sat,1280
symcc-assertions-29.smt2,sat,1170
symcc-assertions-3.smt2,sat,199
symcc-assertions-30.smt2,sat,1163
symcc-assertions-31.smt2,sat,644
symcc-assertions-32.smt2,sat,625
symcc-assertions-33.smt2,sat,582
symcc-assertions-34.smt2,sat,664
symcc-assertions-35.smt2,sat,643
symcc-assertions-36.smt2,sat,615
symcc-assertions-37.smt2,sat,692
symcc-assertions-38.smt2,sat,687
symcc-assertions-39.smt2,sat,681
symcc-assertions-4.smt2,sat,203
symcc-assertions-40.smt2,sat,657
symcc-assertions-41.smt2,sat,669
symcc-assertions-42.smt2,sat,697
symcc-assertions-43.smt2,sat,678
symcc-assertions-44.smt2,unsat,132
symcc-assertions-45.smt2,unsat,156
symcc-assertions-46.smt2,sat,14583
symcc-assertions-47.smt2,TIMEOUT,300191
symcc-assertions-48.smt2,TIMEOUT,300199
symcc-assertions-49.smt2,TIMEOUT,300246
symcc-assertions-50.smt2,TIMEOUT,300191
symcc-assertions-51.smt2,sat,15503
symcc-assertions-52.smt2,sat,17530
symcc-assertions-53.smt2,sat,16588
symcc-assertions-54.smt2,sat,16120
