file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,263
symcc-unsat-1.smt2,sat,257
symcc-unsat-10.smt2,sat,182
symcc-unsat-11.smt2,sat,274
symcc-unsat-12.smt2,sat,195
symcc-unsat-13.smt2,sat,216
symcc-unsat-14.smt2,sat,193
symcc-unsat-15.smt2,sat,186
symcc-unsat-16.smt2,sat,267
symcc-unsat-17.smt2,sat,183
symcc-unsat-18.smt2,sat,218
symcc-unsat-19.smt2,sat,216
symcc-unsat-2.smt2,sat,189
symcc-unsat-20.smt2,sat,209
symcc-unsat-21.smt2,sat,402
symcc-unsat-22.smt2,sat,220
symcc-unsat-23.smt2,sat,200
symcc-unsat-24.smt2,sat,225
symcc-unsat-25.smt2,sat,214
symcc-unsat-26.smt2,sat,1612
symcc-unsat-27.smt2,sat,616
symcc-unsat-28.smt2,sat,618
symcc-unsat-29.smt2,sat,596
symcc-unsat-3.smt2,sat,229
symcc-unsat-30.smt2,sat,708
symcc-unsat-31.smt2,sat,1392
symcc-unsat-32.smt2,sat,665
symcc-unsat-33.smt2,sat,728
symcc-unsat-34.smt2,sat,676
symcc-unsat-35.smt2,sat,658
symcc-unsat-36.smt2,sat,2172
symcc-unsat-37.smt2,sat,664
symcc-unsat-38.smt2,sat,740
symcc-unsat-39.smt2,sat,696
symcc-unsat-4.smt2,sat,187
symcc-unsat-40.smt2,sat,757
symcc-unsat-41.smt2,sat,1617
symcc-unsat-42.smt2,sat,734
symcc-unsat-43.smt2,sat,709
symcc-unsat-44.smt2,sat,688
symcc-unsat-45.smt2,sat,697
symcc-unsat-46.smt2,sat,264919
symcc-unsat-47.smt2,sat,19948
symcc-unsat-48.smt2,sat,16971
symcc-unsat-49.smt2,sat,15884
symcc-unsat-50.smt2,sat,17038
symcc-unsat-51.smt2,TIMEOUT,300232
symcc-unsat-52.smt2,sat,17819
symcc-unsat-53.smt2,sat,17727
symcc-unsat-54.smt2,sat,17760
