file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,157
symcc-assertions-1.smt2,sat,210
symcc-assertions-10.smt2,TIMEOUT,300231
symcc-assertions-11.smt2,TIMEOUT,300236
symcc-assertions-12.smt2,TIMEOUT,300366
symcc-assertions-13.smt2,unsat,150
symcc-assertions-14.smt2,TIMEOUT,300201
symcc-assertions-15.smt2,unsat,163
symcc-assertions-16.smt2,TIMEOUT,300367
symcc-assertions-17.smt2,ERROR(134),361
symcc-assertions-18.smt2,unsat,164
symcc-assertions-19.smt2,ERROR(134),312
symcc-assertions-2.smt2,unsat,147
symcc-assertions-20.smt2,ERROR(134),332
symcc-assertions-21.smt2,ERROR(134),447
symcc-assertions-22.smt2,unsat,154
symcc-assertions-23.smt2,unsat,148
symcc-assertions-24.smt2,ERROR(134),423
symcc-assertions-25.smt2,ERROR(134),510
symcc-assertions-26.smt2,unsat,152
symcc-assertions-27.smt2,TIMEOUT,300193
symcc-assertions-28.smt2,TIMEOUT,300178
symcc-assertions-29.smt2,TIMEOUT,300185
symcc-assertions-3.smt2,TIMEOUT,300363
symcc-assertions-30.smt2,TIMEOUT,300178
symcc-assertions-31.smt2,TIMEOUT,300203
symcc-assertions-32.smt2,TIMEOUT,300205
symcc-assertions-33.smt2,unsat,174
symcc-assertions-34.smt2,unsat,154
symcc-assertions-35.smt2,TIMEOUT,300193
symcc-assertions-36.smt2,TIMEOUT,300183
symcc-assertions-37.smt2,unsat,148
symcc-assertions-38.smt2,TIMEOUT,300179
symcc-assertions-39.smt2,unsat,168
symcc-assertions-4.smt2,unsat,158
symcc-assertions-40.smt2,TIMEOUT,300187
symcc-assertions-41.smt2,TIMEOUT,300199
symcc-assertions-42.smt2,TIMEOUT,300188
symcc-assertions-43.smt2,unsat,173
symcc-assertions-44.smt2,TIMEOUT,300218
symcc-assertions-45.smt2,TIMEOUT,300235
symcc-assertions-46.smt2,TIMEOUT,300199
symcc-assertions-47.smt2,unsat,185
symcc-assertions-48.smt2,unsat,169
symcc-assertions-49.smt2,unsat,175
symcc-assertions-5.smt2,TIMEOUT,300227
symcc-assertions-6.smt2,TIMEOUT,300216
symcc-assertions-7.smt2,TIMEOUT,300216
symcc-assertions-8.smt2,TIMEOUT,300192
symcc-assertions-9.smt2,TIMEOUT,300229
