file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,149
symcc-unsat-1.smt2,sat,214
symcc-unsat-10.smt2,TIMEOUT,300249
symcc-unsat-11.smt2,TIMEOUT,300258
symcc-unsat-12.smt2,TIMEOUT,300370
symcc-unsat-13.smt2,TIMEOUT,300484
symcc-unsat-14.smt2,TIMEOUT,300236
symcc-unsat-15.smt2,ERROR(134),515
symcc-unsat-16.smt2,TIMEOUT,300228
symcc-unsat-17.smt2,ERROR(134),378
symcc-unsat-18.smt2,ERROR(134),430
symcc-unsat-19.smt2,ERROR(134),432
symcc-unsat-2.smt2,sat,375
symcc-unsat-20.smt2,ERROR(134),361
symcc-unsat-21.smt2,TIMEOUT,300302
symcc-unsat-22.smt2,ERROR(134),479
symcc-unsat-23.smt2,ERROR(134),585
symcc-unsat-24.smt2,ERROR(134),661
symcc-unsat-25.smt2,ERROR(134),643
symcc-unsat-26.smt2,ERROR(134),680
symcc-unsat-27.smt2,TIMEOUT,300194
symcc-unsat-28.smt2,TIMEOUT,300285
symcc-unsat-29.smt2,TIMEOUT,300192
symcc-unsat-3.smt2,TIMEOUT,300205
symcc-unsat-30.smt2,TIMEOUT,300198
symcc-unsat-31.smt2,TIMEOUT,300199
symcc-unsat-32.smt2,TIMEOUT,300190
symcc-unsat-33.smt2,TIMEOUT,300206
symcc-unsat-34.smt2,TIMEOUT,300199
symcc-unsat-35.smt2,TIMEOUT,300192
symcc-unsat-36.smt2,TIMEOUT,300192
symcc-unsat-37.smt2,TIMEOUT,300236
symcc-unsat-38.smt2,TIMEOUT,300198
symcc-unsat-39.smt2,TIMEOUT,300241
symcc-unsat-4.smt2,TIMEOUT,300240
symcc-unsat-40.smt2,TIMEOUT,300204
symcc-unsat-41.smt2,TIMEOUT,300164
symcc-unsat-42.smt2,TIMEOUT,300157
symcc-unsat-43.smt2,TIMEOUT,300225
symcc-unsat-44.smt2,TIMEOUT,300226
symcc-unsat-45.smt2,TIMEOUT,300215
symcc-unsat-46.smt2,TIMEOUT,300192
symcc-unsat-47.smt2,TIMEOUT,300121
symcc-unsat-48.smt2,TIMEOUT,300125
symcc-unsat-49.smt2,TIMEOUT,300114
symcc-unsat-5.smt2,TIMEOUT,300141
symcc-unsat-6.smt2,TIMEOUT,300142
symcc-unsat-7.smt2,TIMEOUT,300142
symcc-unsat-8.smt2,TIMEOUT,300140
symcc-unsat-9.smt2,TIMEOUT,300171
