file_name,result,runtime_ms
symcc-assertions-0.smt2,sat,168
symcc-assertions-1.smt2,sat,185
symcc-assertions-10.smt2,TIMEOUT,300237
symcc-assertions-11.smt2,TIMEOUT,300254
symcc-assertions-12.smt2,TIMEOUT,300404
symcc-assertions-13.smt2,unsat,164
symcc-assertions-14.smt2,TIMEOUT,300206
symcc-assertions-15.smt2,unsat,171
symcc-assertions-16.smt2,TIMEOUT,300213
symcc-assertions-17.smt2,ERROR(134),427
symcc-assertions-18.smt2,unsat,281
symcc-assertions-19.smt2,ERROR(134),369
symcc-assertions-2.smt2,unsat,158
symcc-assertions-20.smt2,ERROR(134),345
symcc-assertions-21.smt2,ERROR(134),402
symcc-assertions-22.smt2,unsat,171
symcc-assertions-23.smt2,unsat,161
symcc-assertions-24.smt2,ERROR(134),541
symcc-assertions-25.smt2,ERROR(134),7992
symcc-assertions-26.smt2,unsat,165
symcc-assertions-27.smt2,TIMEOUT,300157
symcc-assertions-28.smt2,TIMEOUT,300186
symcc-assertions-29.smt2,TIMEOUT,300212
symcc-assertions-3.smt2,TIMEOUT,300227
symcc-assertions-30.smt2,TIMEOUT,300187
symcc-assertions-31.smt2,TIMEOUT,300133
symcc-assertions-32.smt2,TIMEOUT,300150
symcc-assertions-33.smt2,unsat,100
symcc-assertions-34.smt2,unsat,123
symcc-assertions-35.smt2,TIMEOUT,300124
symcc-assertions-36.smt2,TIMEOUT,300115
symcc-assertions-37.smt2,unsat,101
symcc-assertions-38.smt2,TIMEOUT,300139
symcc-assertions-39.smt2,unsat,190
symcc-assertions-4.smt2,unsat,87
symcc-assertions-40.smt2,TIMEOUT,300125
symcc-assertions-41.smt2,TIMEOUT,300127
symcc-assertions-42.smt2,TIMEOUT,300124
symcc-assertions-43.smt2,unsat,108
symcc-assertions-44.smt2,TIMEOUT,300123
symcc-assertions-45.smt2,TIMEOUT,300118
symcc-assertions-46.smt2,TIMEOUT,300108
symcc-assertions-47.smt2,unsat,89
symcc-assertions-48.smt2,unsat,94
symcc-assertions-49.smt2,unsat,100
symcc-assertions-50.smt2,TIMEOUT,300115
symcc-assertions-51.smt2,TIMEOUT,300108
symcc-assertions-52.smt2,unsat,119
symcc-assertions-53.smt2,TIMEOUT,300113
symcc-assertions-54.smt2,unsat,159
