file_name,result,runtime_ms
symcc-unsat-0.smt2,sat,93
symcc-unsat-1.smt2,sat,123
symcc-unsat-10.smt2,TIMEOUT,300170
symcc-unsat-11.smt2,TIMEOUT,300213
symcc-unsat-12.smt2,TIMEOUT,300319
symcc-unsat-13.smt2,TIMEOUT,300335
symcc-unsat-14.smt2,TIMEOUT,300380
symcc-unsat-15.smt2,TIMEOUT,300109
symcc-unsat-16.smt2,TIMEOUT,300456
symcc-unsat-17.smt2,ERROR(134),247
symcc-unsat-18.smt2,ERROR(134),295
symcc-unsat-19.smt2,ERROR(134),278
symcc-unsat-2.smt2,sat,250
symcc-unsat-20.smt2,ERROR(134),270
symcc-unsat-21.smt2,ERROR(134),358
symcc-unsat-22.smt2,ERROR(134),320
symcc-unsat-23.smt2,ERROR(134),317
symcc-unsat-24.smt2,ERROR(134),263
symcc-unsat-25.smt2,ERROR(134),362
symcc-unsat-26.smt2,ERROR(134),360
symcc-unsat-27.smt2,TIMEOUT,300100
symcc-unsat-28.smt2,TIMEOUT,300089
symcc-unsat-29.smt2,TIMEOUT,300089
symcc-unsat-3.smt2,ERROR(134),247914
symcc-unsat-30.smt2,TIMEOUT,683701
symcc-unsat-31.smt2,TIMEOUT,4378866
symcc-unsat-32.smt2,TIMEOUT,3297351
symcc-unsat-33.smt2,TIMEOUT,300099
symcc-unsat-34.smt2,TIMEOUT,300090
symcc-unsat-35.smt2,TIMEOUT,300090
symcc-unsat-36.smt2,TIMEOUT,300098
symcc-unsat-37.smt2,TIMEOUT,300103
symcc-unsat-38.smt2,TIMEOUT,300064
symcc-unsat-39.smt2,TIMEOUT,300094
symcc-unsat-4.smt2,TIMEOUT,300164
symcc-unsat-40.smt2,TIMEOUT,300098
symcc-unsat-41.smt2,TIMEOUT,300094
symcc-unsat-42.smt2,TIMEOUT,300095
symcc-unsat-43.smt2,TIMEOUT,300093
symcc-unsat-44.smt2,TIMEOUT,300092
symcc-unsat-45.smt2,TIMEOUT,300089
symcc-unsat-46.smt2,TIMEOUT,300095
symcc-unsat-47.smt2,TIMEOUT,300112
symcc-unsat-48.smt2,TIMEOUT,300114
symcc-unsat-49.smt2,TIMEOUT,300120
symcc-unsat-50.smt2,TIMEOUT,300094
symcc-unsat-51.smt2,TIMEOUT,300145
symcc-unsat-52.smt2,TIMEOUT,300105
symcc-unsat-53.smt2,TIMEOUT,300110
symcc-unsat-54.smt2,TIMEOUT,300126
