file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,3484,1
symcc-assertions-1.smt2,sat,3968,2
symcc-assertions-10.smt2,sat,3942,3
symcc-assertions-11.smt2,sat,4031,4
symcc-assertions-12.smt2,sat,3938,5
symcc-assertions-13.smt2,sat,4000,6
symcc-assertions-14.smt2,sat,3925,7
symcc-assertions-15.smt2,sat,3924,8
symcc-assertions-16.smt2,sat,3947,9
symcc-assertions-17.smt2,sat,4067,10
symcc-assertions-18.smt2,sat,3957,11
symcc-assertions-19.smt2,sat,3935,12
symcc-assertions-2.smt2,sat,3259,13
symcc-assertions-20.smt2,sat,3912,14
symcc-assertions-21.smt2,sat,3933,15
symcc-assertions-22.smt2,sat,3937,16
symcc-assertions-23.smt2,sat,3924,17
symcc-assertions-24.smt2,sat,3920,18
symcc-assertions-25.smt2,sat,3988,19
symcc-assertions-26.smt2,sat,3917,20
symcc-assertions-27.smt2,sat,3900,21
symcc-assertions-28.smt2,sat,3911,22
symcc-assertions-29.smt2,sat,3902,23
symcc-assertions-3.smt2,sat,5905,24
symcc-assertions-30.smt2,sat,4076,25
symcc-assertions-31.smt2,sat,3921,26
symcc-assertions-32.smt2,sat,3916,27
symcc-assertions-33.smt2,sat,3945,28
symcc-assertions-34.smt2,sat,3915,29
symcc-assertions-35.smt2,sat,3933,30
symcc-assertions-36.smt2,sat,3889,31
symcc-assertions-37.smt2,sat,3901,32
symcc-assertions-38.smt2,sat,3916,33
symcc-assertions-39.smt2,sat,3930,34
symcc-assertions-4.smt2,sat,6796,35
symcc-assertions-40.smt2,sat,3909,36
symcc-assertions-41.smt2,sat,3886,37
symcc-assertions-42.smt2,sat,3899,38
symcc-assertions-43.smt2,sat,3919,39
symcc-assertions-44.smt2,sat,4022,40
symcc-assertions-45.smt2,sat,4057,41
symcc-assertions-46.smt2,sat,3962,42
symcc-assertions-47.smt2,sat,3917,43
symcc-assertions-48.smt2,sat,3913,44
symcc-assertions-49.smt2,sat,3964,45
symcc-assertions-5.smt2,sat,1108,46
symcc-assertions-6.smt2,sat,4342,47
symcc-assertions-7.smt2,sat,3914,48
symcc-assertions-8.smt2,sat,3935,49
symcc-assertions-9.smt2,sat,4140,50
