file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,3483,1
symcc-unsat-1.smt2,sat,3264,2
symcc-unsat-10.smt2,sat,3907,3
symcc-unsat-11.smt2,sat,3922,4
symcc-unsat-12.smt2,sat,3946,5
symcc-unsat-13.smt2,sat,3907,6
symcc-unsat-14.smt2,sat,3915,7
symcc-unsat-15.smt2,sat,3955,8
symcc-unsat-16.smt2,sat,3913,9
symcc-unsat-17.smt2,sat,3924,10
symcc-unsat-18.smt2,sat,3914,11
symcc-unsat-19.smt2,sat,3933,12
symcc-unsat-2.smt2,sat,3259,13
symcc-unsat-20.smt2,sat,3922,14
symcc-unsat-21.smt2,sat,3924,15
symcc-unsat-22.smt2,sat,3926,16
symcc-unsat-23.smt2,sat,3912,17
symcc-unsat-24.smt2,sat,3939,18
symcc-unsat-25.smt2,sat,3924,19
symcc-unsat-26.smt2,sat,3916,20
symcc-unsat-27.smt2,sat,3939,21
symcc-unsat-28.smt2,sat,3934,22
symcc-unsat-29.smt2,sat,3916,23
symcc-unsat-3.smt2,sat,6800,24
symcc-unsat-30.smt2,sat,3944,25
symcc-unsat-31.smt2,sat,3926,26
symcc-unsat-32.smt2,sat,3899,27
symcc-unsat-33.smt2,sat,3907,28
symcc-unsat-34.smt2,sat,3894,29
symcc-unsat-35.smt2,sat,3991,30
symcc-unsat-36.smt2,sat,4041,31
symcc-unsat-37.smt2,sat,4125,32
symcc-unsat-38.smt2,sat,3918,33
symcc-unsat-39.smt2,sat,3892,34
symcc-unsat-4.smt2,sat,6848,35
symcc-unsat-40.smt2,sat,3927,36
symcc-unsat-41.smt2,sat,3914,37
symcc-unsat-42.smt2,sat,3939,38
symcc-unsat-43.smt2,sat,4068,39
symcc-unsat-44.smt2,sat,3921,40
symcc-unsat-45.smt2,sat,3903,41
symcc-unsat-46.smt2,sat,3920,42
symcc-unsat-47.smt2,sat,3893,43
symcc-unsat-48.smt2,sat,3918,44
symcc-unsat-49.smt2,sat,3890,45
symcc-unsat-5.smt2,sat,4369,46
symcc-unsat-6.smt2,sat,4353,47
symcc-unsat-7.smt2,sat,3892,48
symcc-unsat-8.smt2,sat,3931,49
symcc-unsat-9.smt2,sat,3944,50
