file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,3502,1
symcc-assertions-10.smt2,sat,3933,2
symcc-assertions-100.smt2,sat,3776,3
symcc-assertions-101.smt2,sat,2768,4
symcc-assertions-102.smt2,sat,3026,5
symcc-assertions-103.smt2,sat,6535,6
symcc-assertions-104.smt2,sat,3775,7
symcc-assertions-105.smt2,sat,4805,8
symcc-assertions-106.smt2,sat,2229,9
symcc-assertions-107.smt2,sat,8859,10
symcc-assertions-108.smt2,sat,6132,11
symcc-assertions-109.smt2,sat,6130,12
symcc-assertions-11.smt2,sat,4007,13
symcc-assertions-110.smt2,sat,6233,14
symcc-assertions-111.smt2,sat,6192,15
symcc-assertions-112.smt2,sat,6143,16
symcc-assertions-113.smt2,sat,6136,17
symcc-assertions-114.smt2,sat,6220,18
symcc-assertions-115.smt2,sat,6208,19
symcc-assertions-116.smt2,sat,6124,20
symcc-assertions-117.smt2,sat,6331,21
symcc-assertions-118.smt2,sat,6202,22
symcc-assertions-119.smt2,sat,6155,23
symcc-assertions-12.smt2,sat,3948,24
symcc-assertions-120.smt2,sat,6155,25
symcc-assertions-121.smt2,sat,6164,26
symcc-assertions-122.smt2,sat,6188,27
symcc-assertions-123.smt2,sat,6162,28
symcc-assertions-124.smt2,sat,6133,29
symcc-assertions-125.smt2,sat,6138,30
symcc-assertions-126.smt2,sat,6138,31
symcc-assertions-127.smt2,sat,6170,32
symcc-assertions-128.smt2,sat,6187,33
symcc-assertions-129.smt2,sat,6156,34
symcc-assertions-13.smt2,sat,3931,35
symcc-assertions-130.smt2,sat,6129,36
symcc-assertions-131.smt2,sat,6135,37
symcc-assertions-132.smt2,sat,6191,38
symcc-assertions-133.smt2,sat,6205,39
symcc-assertions-134.smt2,sat,6173,40
symcc-assertions-135.smt2,sat,6164,41
symcc-assertions-136.smt2,sat,6139,42
symcc-assertions-137.smt2,sat,6183,43
symcc-assertions-138.smt2,sat,6159,44
symcc-assertions-139.smt2,sat,6158,45
symcc-assertions-140.smt2,sat,6259,46
symcc-assertions-141.smt2,sat,6320,47
symcc-assertions-142.smt2,sat,6286,48
symcc-assertions-143.smt2,sat,6196,49
symcc-assertions-144.smt2,sat,6190,50
