file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,3538,1
symcc-unsat-10.smt2,sat,3926,2
symcc-unsat-100.smt2,sat,2766,3
symcc-unsat-101.smt2,sat,2773,4
symcc-unsat-102.smt2,sat,6658,5
symcc-unsat-103.smt2,sat,6618,6
symcc-unsat-104.smt2,sat,4790,7
symcc-unsat-105.smt2,sat,4792,8
symcc-unsat-106.smt2,sat,8867,9
symcc-unsat-107.smt2,sat,8943,10
symcc-unsat-108.smt2,sat,6144,11
symcc-unsat-109.smt2,sat,6134,12
symcc-unsat-11.smt2,sat,3922,13
symcc-unsat-110.smt2,sat,6143,14
symcc-unsat-111.smt2,sat,6364,15
symcc-unsat-112.smt2,sat,6150,16
symcc-unsat-113.smt2,sat,6150,17
symcc-unsat-114.smt2,sat,6197,18
symcc-unsat-115.smt2,sat,6164,19
symcc-unsat-116.smt2,sat,6150,20
symcc-unsat-117.smt2,sat,6124,21
symcc-unsat-118.smt2,sat,6192,22
symcc-unsat-119.smt2,sat,6148,23
symcc-unsat-12.smt2,sat,4079,24
symcc-unsat-120.smt2,sat,6148,25
symcc-unsat-121.smt2,sat,6130,26
symcc-unsat-122.smt2,sat,6135,27
symcc-unsat-123.smt2,sat,6161,28
symcc-unsat-124.smt2,sat,6157,29
symcc-unsat-125.smt2,sat,6143,30
symcc-unsat-126.smt2,sat,6184,31
symcc-unsat-127.smt2,sat,6137,32
symcc-unsat-128.smt2,sat,6152,33
symcc-unsat-129.smt2,sat,6122,34
symcc-unsat-13.smt2,sat,3940,35
symcc-unsat-130.smt2,sat,6133,36
symcc-unsat-131.smt2,sat,6153,37
symcc-unsat-132.smt2,sat,6154,38
symcc-unsat-133.smt2,sat,6298,39
symcc-unsat-134.smt2,sat,6160,40
symcc-unsat-135.smt2,sat,6196,41
symcc-unsat-136.smt2,sat,6130,42
symcc-unsat-137.smt2,sat,6148,43
symcc-unsat-138.smt2,sat,6179,44
symcc-unsat-139.smt2,sat,6283,45
symcc-unsat-140.smt2,sat,6152,46
symcc-unsat-141.smt2,sat,6248,47
symcc-unsat-142.smt2,sat,6190,48
symcc-unsat-143.smt2,sat,6232,49
symcc-unsat-144.smt2,sat,6219,50
