file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,45,1
symcc-assertions-1.smt2,sat,91,2
symcc-assertions-10.smt2,unsat,11,3
symcc-assertions-11.smt2,unsat,10,4
symcc-assertions-12.smt2,sat,310,5
symcc-assertions-13.smt2,unsat,9,6
symcc-assertions-14.smt2,unsat,11,7
symcc-assertions-15.smt2,unsat,326,8
symcc-assertions-16.smt2,unsat,10,9
symcc-assertions-17.smt2,sat,447,10
symcc-assertions-18.smt2,sat,1939,11
symcc-assertions-19.smt2,unsat,10,12
symcc-assertions-2.smt2,sat,85,13
symcc-assertions-20.smt2,unsat,10,14
symcc-assertions-21.smt2,sat,796,15
symcc-assertions-22.smt2,unsat,10,16
symcc-assertions-23.smt2,sat,1245,17
symcc-assertions-24.smt2,sat,1767,18
symcc-assertions-25.smt2,unsat,16,19
symcc-assertions-26.smt2,unsat,17,20
symcc-assertions-27.smt2,unsat,14,21
symcc-assertions-28.smt2,unsat,14,22
symcc-assertions-29.smt2,unsat,14,23
symcc-assertions-3.smt2,unsat,12,24
symcc-assertions-30.smt2,unsat,1268,25
symcc-assertions-31.smt2,unsat,13,26
symcc-assertions-32.smt2,unsat,10,27
symcc-assertions-33.smt2,unsat,1779,28
symcc-assertions-34.smt2,unsat,12,29
symcc-assertions-35.smt2,unsat,1620,30
symcc-assertions-36.smt2,unsat,944,31
symcc-assertions-37.smt2,unsat,1230,32
symcc-assertions-38.smt2,unsat,14,33
symcc-assertions-39.smt2,unsat,1173,34
symcc-assertions-4.smt2,sat,61,35
symcc-assertions-40.smt2,unsat,10,36
symcc-assertions-41.smt2,unsat,1059,37
symcc-assertions-42.smt2,unsat,10,38
symcc-assertions-5.smt2,unsat,149,39
symcc-assertions-6.smt2,unsat,10,40
symcc-assertions-7.smt2,sat,82,41
symcc-assertions-8.smt2,sat,348,42
symcc-assertions-9.smt2,unsat,10,43
