file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,36,1
symcc-unsat-1.smt2,sat,84,2
symcc-unsat-10.smt2,sat,318,3
symcc-unsat-11.smt2,sat,318,4
symcc-unsat-12.smt2,sat,648,5
symcc-unsat-13.smt2,sat,611,6
symcc-unsat-14.smt2,sat,429,7
symcc-unsat-15.smt2,sat,507,8
symcc-unsat-16.smt2,sat,502,9
symcc-unsat-17.smt2,sat,671,10
symcc-unsat-18.smt2,sat,1452,11
symcc-unsat-19.smt2,sat,837,12
symcc-unsat-2.smt2,sat,89,13
symcc-unsat-20.smt2,sat,838,14
symcc-unsat-21.smt2,sat,1484,15
symcc-unsat-22.smt2,sat,1554,16
symcc-unsat-23.smt2,sat,1452,17
symcc-unsat-24.smt2,sat,1885,18
symcc-unsat-25.smt2,sat,1665,19
symcc-unsat-26.smt2,sat,1712,20
symcc-unsat-27.smt2,sat,1674,21
symcc-unsat-28.smt2,sat,1765,22
symcc-unsat-29.smt2,sat,1999,23
symcc-unsat-3.smt2,sat,59,24
symcc-unsat-30.smt2,sat,1569,25
symcc-unsat-31.smt2,sat,4956,26
symcc-unsat-32.smt2,sat,4971,27
symcc-unsat-33.smt2,sat,2343,28
symcc-unsat-34.smt2,sat,2429,29
symcc-unsat-35.smt2,sat,1936,30
symcc-unsat-36.smt2,sat,95421,31
symcc-unsat-37.smt2,sat,1967,32
symcc-unsat-38.smt2,sat,2039,33
symcc-unsat-39.smt2,sat,2199,34
symcc-unsat-4.smt2,sat,100,35
symcc-unsat-40.smt2,sat,2114,36
symcc-unsat-41.smt2,sat,2413,37
symcc-unsat-42.smt2,sat,2425,38
symcc-unsat-5.smt2,sat,155,39
symcc-unsat-6.smt2,sat,155,40
symcc-unsat-7.smt2,sat,172,41
symcc-unsat-8.smt2,sat,382,42
symcc-unsat-9.smt2,sat,393,43
