file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,38,1
symcc-assertions-1.smt2,sat,93,2
symcc-assertions-10.smt2,unsat,12,3
symcc-assertions-11.smt2,unsat,9,4
symcc-assertions-12.smt2,sat,259,5
symcc-assertions-13.smt2,unsat,9,6
symcc-assertions-14.smt2,unsat,10,7
symcc-assertions-15.smt2,unsat,246,8
symcc-assertions-16.smt2,unsat,8,9
symcc-assertions-17.smt2,sat,348,10
symcc-assertions-18.smt2,sat,1464,11
symcc-assertions-19.smt2,unsat,9,12
symcc-assertions-2.smt2,sat,66,13
symcc-assertions-20.smt2,unsat,9,14
symcc-assertions-21.smt2,sat,576,15
symcc-assertions-22.smt2,unsat,8,16
symcc-assertions-23.smt2,sat,912,17
symcc-assertions-24.smt2,sat,1012,18
symcc-assertions-25.smt2,unsat,8,19
symcc-assertions-26.smt2,unsat,9,20
symcc-assertions-27.smt2,unsat,9,21
symcc-assertions-28.smt2,unsat,8,22
symcc-assertions-29.smt2,unsat,9,23
symcc-assertions-3.smt2,unsat,9,24
symcc-assertions-30.smt2,unsat,787,25
symcc-assertions-31.smt2,unsat,9,26
symcc-assertions-32.smt2,unsat,8,27
symcc-assertions-33.smt2,unsat,1218,28
symcc-assertions-34.smt2,unsat,11,29
symcc-assertions-35.smt2,unsat,1176,30
symcc-assertions-36.smt2,unsat,780,31
symcc-assertions-37.smt2,unsat,939,32
symcc-assertions-38.smt2,unsat,8,33
symcc-assertions-39.smt2,unsat,844,34
symcc-assertions-4.smt2,sat,46,35
symcc-assertions-40.smt2,unsat,8,36
symcc-assertions-41.smt2,unsat,774,37
symcc-assertions-42.smt2,unsat,8,38
symcc-assertions-5.smt2,unsat,115,39
symcc-assertions-6.smt2,unsat,8,40
symcc-assertions-7.smt2,sat,65,41
symcc-assertions-8.smt2,sat,279,42
symcc-assertions-9.smt2,unsat,9,43
