file_name,result,runtime_ms,file_index
symcc-assertions-0.smt2,sat,12,1
symcc-assertions-1.smt2,sat,13,2
symcc-assertions-10.smt2,sat,75,3
symcc-assertions-11.smt2,sat,86,4
symcc-assertions-12.smt2,sat,82,5
symcc-assertions-13.smt2,sat,84,6
symcc-assertions-14.smt2,sat,77,7
symcc-assertions-15.smt2,sat,77,8
symcc-assertions-16.smt2,sat,171,9
symcc-assertions-17.smt2,sat,199,10
symcc-assertions-18.smt2,sat,211,11
symcc-assertions-19.smt2,sat,149,12
symcc-assertions-2.smt2,sat,43,13
symcc-assertions-20.smt2,sat,135,14
symcc-assertions-21.smt2,sat,151,15
symcc-assertions-22.smt2,sat,103,16
symcc-assertions-23.smt2,unsat,13,17
symcc-assertions-24.smt2,sat,157,18
symcc-assertions-25.smt2,sat,215,19
symcc-assertions-26.smt2,sat,205,20
symcc-assertions-27.smt2,sat,299,21
symcc-assertions-28.smt2,sat,235,22
symcc-assertions-29.smt2,sat,247,23
symcc-assertions-3.smt2,sat,32,24
symcc-assertions-30.smt2,sat,265,25
symcc-assertions-31.smt2,sat,318,26
symcc-assertions-32.smt2,sat,380,27
symcc-assertions-33.smt2,unsat,252,28
symcc-assertions-34.smt2,unsat,15,29
symcc-assertions-35.smt2,sat,412,30
symcc-assertions-36.smt2,sat,539,31
symcc-assertions-37.smt2,sat,429,32
symcc-assertions-38.smt2,timeout,300000,33
symcc-assertions-39.smt2,sat,1127,34
symcc-assertions-4.smt2,sat,61,35
symcc-assertions-40.smt2,timeout,300000,36
symcc-assertions-41.smt2,timeout,300000,37
symcc-assertions-42.smt2,sat,474,38
symcc-assertions-43.smt2,sat,508,39
symcc-assertions-44.smt2,sat,1004,40
symcc-assertions-45.smt2,sat,1433,41
symcc-assertions-46.smt2,sat,1046,42
symcc-assertions-47.smt2,sat,768,43
symcc-assertions-48.smt2,sat,609,44
symcc-assertions-49.smt2,sat,1621,45
symcc-assertions-5.smt2,sat,35,46
symcc-assertions-6.smt2,sat,36,47
symcc-assertions-7.smt2,sat,40,48
symcc-assertions-8.smt2,sat,57,49
symcc-assertions-9.smt2,sat,37,50
