file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,9,1
symcc-unsat-1.smt2,sat,9,2
symcc-unsat-10.smt2,sat,58,3
symcc-unsat-11.smt2,sat,61,4
symcc-unsat-12.smt2,sat,59,5
symcc-unsat-13.smt2,sat,57,6
symcc-unsat-14.smt2,sat,48,7
symcc-unsat-15.smt2,sat,73,8
symcc-unsat-16.smt2,sat,79,9
symcc-unsat-17.smt2,sat,90,10
symcc-unsat-18.smt2,sat,74,11
symcc-unsat-19.smt2,sat,72,12
symcc-unsat-2.smt2,sat,23,13
symcc-unsat-20.smt2,sat,80,14
symcc-unsat-21.smt2,sat,76,15
symcc-unsat-22.smt2,sat,77,16
symcc-unsat-23.smt2,sat,70,17
symcc-unsat-24.smt2,sat,173,18
symcc-unsat-25.smt2,sat,93,19
symcc-unsat-26.smt2,sat,213,20
symcc-unsat-27.smt2,sat,318,21
symcc-unsat-28.smt2,sat,287,22
symcc-unsat-29.smt2,sat,236,23
symcc-unsat-3.smt2,sat,39,24
symcc-unsat-30.smt2,sat,222,25
symcc-unsat-31.smt2,sat,200,26
symcc-unsat-32.smt2,sat,200,27
symcc-unsat-33.smt2,sat,200,28
symcc-unsat-34.smt2,sat,187,29
symcc-unsat-35.smt2,sat,419,30
symcc-unsat-36.smt2,sat,416,31
symcc-unsat-37.smt2,sat,929,32
symcc-unsat-38.smt2,sat,501,33
symcc-unsat-39.smt2,sat,936,34
symcc-unsat-4.smt2,sat,74,35
symcc-unsat-40.smt2,sat,755,36
symcc-unsat-41.smt2,timeout,300000,37
symcc-unsat-42.smt2,sat,467,38
symcc-unsat-43.smt2,sat,1147,39
symcc-unsat-44.smt2,sat,1192,40
symcc-unsat-45.smt2,sat,1638,41
symcc-unsat-46.smt2,sat,1368,42
symcc-unsat-47.smt2,sat,1388,43
symcc-unsat-48.smt2,sat,1302,44
symcc-unsat-49.smt2,sat,710,45
symcc-unsat-5.smt2,sat,46,46
symcc-unsat-6.smt2,sat,59,47
symcc-unsat-7.smt2,sat,65,48
symcc-unsat-8.smt2,sat,36,49
symcc-unsat-9.smt2,sat,38,50
